,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid,degrees,betweenness,harmonic_centrality,transitivity_undirected,pagerank,eccentricity
0,580,0,0,0,Montréal,Montréal,Montréal-Nord,H1H,104,9884,1,0.0,0.37813531353134905,0.038354274974612364,0.0005841351052853799,6.0
1,623,31-54,1,20001-30000,Montréal,Montréal,Montréal-Nord,H1G,104,9844,1,0.0,0.37813531353134905,0.038354274974612364,0.0005841351052853799,6.0
2,624,31-54,0,20001-30000,Montréal,Montréal,Montréal-Nord,H1G,104,9845,2,0.0,0.3814356435643519,0.038354274974612364,0.0006032016209219679,6.0
3,634,31-54,1,0-10000,Montréal,Montréal,Montréal-Nord,H1G,104,9836,4,0.0,0.28831683168316846,0.038354274974612364,0.0005841351052853799,7.0
4,652,31-54,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9821,3,0.0,0.37929042904290006,0.038354274974612364,0.0006854962540313763,6.0
5,654,18-30,0,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2L,104,9816,9,303.0,0.3853630363036254,0.038354274974612364,0.0006461931649985698,6.0
6,656,18-30,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1H,104,9814,2,0.0,0.2783168316831684,0.038354274974612364,0.0006832518332128227,0.0
7,676,31-54,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1G,113,9794,1,0.0,0.27168316831683104,0.038354274974612364,0.0006527931290664778,0.0
8,693,96-150,0,0-10000,Montréal,Montréal,Ahuntsic-Cartierville,H3L,104,9779,3,0.0,0.2846864686468654,0.038354274974612364,0.0005841351052853799,7.0
9,699,55-65,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9776,7,0.0,0.3814356435643519,0.038354274974612364,0.0006032016209219007,6.0
10,704,18-30,1,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2K,88,9765,1,0.0,0.37813531353134905,0.038354274974612364,0.0006461931649988593,0.0
11,707,18-30,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1G,113,9762,2,0.0,0.2707095709570951,0.038354274974612364,0.0007128467005688586,0.0
12,709,31-54,0,0-10000,Montréal,Montréal,Montréal-Nord,H1G,113,9764,3,0.0,0.37978547854785055,0.038354274974612364,0.0007690856673654106,0.0
13,711,66-80,0,10001-20000,Montréal,Montréal,Ville-Marie,H2K,88,9754,1,0.0,0.2788943894389431,0.038354274974612364,0.0007336556490440693,0.0
