id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
32,31-54,0,50001-,Sainte-Thècle,Mauricie,,G0X,92,10437
38,55-65,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Y,92,10430
39,66-80,0,0,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,92,10431
43,55-65,1,50001-,Shawinigan,Mauricie,,G9R,92,10426
61,55-65,0,10001-20000,Shawinigan,Mauricie,,G9N,92,10407
115,31-54,0,20001-30000,Saint-Adelphe,Mauricie,,G0X,92,10350
117,66-80,1,10001-20000,Shawinigan,Mauricie,,G9R,92,10352
134,66-80,0,0,Notre-Dame-du-Mont-Carmel,Mauricie,,G0X,92,10336
140,66-80,0,0,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10329
141,81-95,1,0,Lac-aux-Sables,Mauricie,,G0X,92,10327
146,0,0,0,Lac-aux-Sables,Mauricie,,G0X,92,10323
153,31-54,0,50001-,Saint-Tite,Mauricie,,G0X,92,10314
154,18-30,0,0-10000,Saint-Tite,Mauricie,,G0X,92,10315
166,18-30,0,0-10000,Saint-Tite,Mauricie,,G0X,92,10302
208,96-150,0,0,Sainte-Thècle,Mauricie,,G0X,92,10259
210,18-30,0,0,Sainte-Thècle,Mauricie,,G0X,92,10261
211,18-30,1,0-10000,Lac-aux-Sables,Mauricie,,G0X,92,10262
222,0,0,20001-30000,Shawinigan,Mauricie,,G0X,92,10245
223,31-54,1,30001-50000,Shawinigan,Mauricie,,G9N,92,10244
236,18-30,1,10001-20000,Saint-Tite,Mauricie,,G0X,92,10232
239,31-54,0,30001-50000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10235
248,55-65,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10220
255,31-54,1,30001-50000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9B,92,10213
257,66-80,0,0,Saint-Séverin,Mauricie,,G0X,92,10211
260,66-80,0,20001-30000,Hérouxville,Mauricie,,G0X,92,10207
261,31-54,0,30001-50000,Shawinigan,Mauricie,,G9N,92,10208
264,66-80,0,20001-30000,Shawinigan,Mauricie,,G9T,92,10206
267,66-80,0,20001-30000,Lac-aux-Sables,Mauricie,,G0X,92,10198
273,18-30,1,0-10000,Saint-Tite,Mauricie,,G0X,92,10196
276,66-80,0,20001-30000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10190
277,66-80,1,20001-30000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10191
288,66-80,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8V,92,10179
289,55-65,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10178
290,,1,0-10000,Lac-aux-Sables,Mauricie,,G0X,92,10177
