source,target,duree,date,service,detailservice,accorderie,id
470,488,02:30:00,2007-04-03,Accompagnement / Gardiennage / Animaux,Garde d'enfants à votre maison,92.0,2243
470,469,01:00:00,2007-05-20,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,2972
493,457,08:00:00,2008-07-25,Transport / Déménagement,Des bras pour gros déménagement,92.0,10061
470,487,01:30:00,2008-03-02,Langues / Littérature,Traduction textes français à anglais,92.0,7816
494,497,03:00:00,2006-10-10,Travaux / Entretien / Jardinage,Ménage léger,92.0,8132
494,497,02:30:00,2006-11-10,Travaux / Entretien / Jardinage,Ménage léger,92.0,8133
494,497,06:00:00,2006-07-26,Travaux / Entretien / Jardinage,Ménage léger,92.0,8134
494,497,03:30:00,2006-08-25,Travaux / Entretien / Jardinage,Ménage léger,92.0,8135
494,497,02:30:00,2006-11-28,Travaux / Entretien / Jardinage,Ménage léger,92.0,8136
495,485,02:00:00,2006-10-07,Accompagnement / Gardiennage / Animaux,Accompagnement marche,92.0,8137
495,480,02:00:00,2006-11-10,Travaux / Entretien / Jardinage,Tonte de gazon,92.0,8139
493,497,02:30:00,2006-01-23,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8291
493,497,01:30:00,2006-02-23,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8292
493,497,04:00:00,2006-07-10,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8293
493,504,02:00:00,2006-09-19,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8294
493,484,02:00:00,2006-10-26,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8295
493,471,01:00:00,2007-09-06,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,92.0,8296
495,455,05:00:00,2007-06-05,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8374
495,455,03:30:00,2007-11-12,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8375
495,455,02:00:00,2007-12-12,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8376
495,455,03:30:00,2007-11-22,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8377
495,455,03:00:00,2007-12-05,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8378
463,455,03:00:00,2007-11-21,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8414
463,455,03:00:00,2007-12-05,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8415
463,455,03:00:00,2007-12-19,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8416
493,497,01:00:00,2007-01-15,Artisanat / Couture / Vêtements,Cordonnerie,92.0,8432
493,489,01:00:00,2007-02-01,Artisanat / Couture / Vêtements,Cordonnerie,92.0,8433
493,455,13:30:00,2007-02-01,Échanges associatifs,Tâches manuelles pour L'Accorderie,92.0,8434
493,491,05:00:00,2007-07-12,Artisanat / Couture / Vêtements,Cordonnerie,92.0,8435
493,498,05:00:00,2007-09-13,Artisanat / Couture / Vêtements,Cordonnerie,92.0,8436
493,455,01:00:00,2007-05-01,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8437
493,455,03:00:00,2007-11-12,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8438
493,455,02:00:00,2007-10-19,Échanges associatifs,Mise à jour de la liste des membres,92.0,8439
493,455,03:00:00,2007-11-15,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8440
493,455,03:00:00,2007-11-19,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8441
493,455,03:00:00,2007-11-26,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8442
493,455,03:00:00,2007-12-10,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8443
493,455,15:00:00,2007-12-13,Échanges associatifs,Tâches cléricales pour L'Accorderie,92.0,8444
493,455,00:30:00,2007-11-26,Échanges associatifs,Tâches cléricales pour L'Accorderie,92.0,8445
493,498,02:00:00,2007-12-15,Artisanat / Couture / Vêtements,Cordonnerie,92.0,8446
486,455,02:00:00,2007-04-10,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8452
486,473,03:00:00,2007-03-25,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,92.0,8453
486,455,07:30:00,2007-06-20,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,92.0,8454
486,504,01:00:00,2007-06-25,Travaux / Entretien / Jardinage,Ménage léger,92.0,8455
486,482,01:00:00,2007-12-16,Travaux / Entretien / Jardinage,Ménage léger,92.0,8456
486,455,03:00:00,2007-09-04,Échanges associatifs,Entretien ménager des locaux,92.0,8457
486,455,03:30:00,2007-11-12,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8458
486,455,03:30:00,2007-12-11,Échanges associatifs,Envoi postal pour L'Accorderie,92.0,8459
486,455,06:30:00,2007-06-26,Échanges associatifs,Accueil/réception permanence Accorderie,92.0,8460
459,486,01:00:00,2008-02-27,Transport / Déménagement,Transport besoins divers,92.0,8503
