id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
1071,66-80,0,30001-50000,Lac-Drolet,Estrie,,G0Y,112,9402
1187,66-80,0,0,Val-Racine,Estrie,,G0Y,112,9278
1399,66-80,0,0,Lac-Mégantic,Estrie,,G6B,112,9073
1756,31-54,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,8700
1780,0,1,0,Lac-Mégantic,Estrie,,G6B,112,8685
1843,31-54,0,0-10000,Lac-Mégantic,Estrie,,G6B,112,8624
1847,0,0,0,Lambton,Estrie,,G0M,112,8621
1904,0,0,0,Frontenac,Estrie,,G6B,112,8567
1944,0,0,30001-50000,Lac-Mégantic,Estrie,,G6B,112,8516
1978,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,8483
2059,31-54,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,8401
2061,81-95,0,0,Lac-Mégantic,Estrie,,G6B,112,8403
2064,66-80,0,10001-20000,Milan,Estrie,,G0Y,112,8406
2112,31-54,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,8350
2113,31-54,1,10001-20000,Lac-Mégantic,Estrie,,G6B,112,8351
2169,55-65,1,0-10000,Lambton,Estrie,,G0M,112,8300
2172,31-54,0,10001-20000,Saint-Augustin-de-Woburn,Estrie,,G0Y,112,8290
2173,66-80,1,0,Lac-Mégantic,Estrie,,G6B,112,8291
2174,81-95,0,20001-30000,Lac-Mégantic,Estrie,,G6B,112,8292
2577,0,0,0-10000,Marston,Estrie,,G0Y,112,7884
2579,66-80,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,7886
2580,66-80,0,30001-50000,Lac-Mégantic,Estrie,,G6B,112,7887
2628,0,0,0,Sherbrooke,Estrie,Fleurimont,J1G,109,7837
2669,31-54,1,0,Weedon,Estrie,,J0B,112,7798
2846,66-80,0,0,Stratford,Estrie,,G0Y,112,7605
2967,55-65,0,10001-20000,Lingwick,Estrie,,J0B,112,7493
2968,66-80,0,0,Lac-Mégantic,Estrie,,G6B,112,7494
2969,0,0,0,Lac-Mégantic,Estrie,,G6B,112,7495
3061,66-80,1,0,Stratford,Estrie,,G0Y,112,7398
3400,66-80,1,10001-20000,Lac-Mégantic,Estrie,,G6B,112,7078
3597,66-80,1,0,Piopolis,Estrie,,G0Y,112,6887
3714,0,0,0,Notre-Dame-des-Bois,Estrie,,J0B,112,6750
3715,66-80,0,10001-20000,Notre-Dame-des-Bois,Estrie,,J0B,112,6751
3919,66-80,0,0,Piopolis,Estrie,,G0Y,112,6545
3937,66-80,0,50001-,Lac-Drolet,Estrie,,G0Y,112,6526
3966,66-80,1,10001-20000,Nantes,Estrie,,G6B,112,6504
4103,31-54,0,10001-20000,Nantes,Estrie,,G0Y,112,6359
4191,31-54,0,10001-20000,Audet,Estrie,,G0Y,112,6271
4193,0,0,0,Courcelles,Estrie,,G0M,112,6270
4303,55-65,1,10001-20000,Saint-Augustin-de-Woburn,Estrie,,G0Y,112,6170
4304,31-54,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,6171
4317,55-65,0,20001-30000,Frontenac,Estrie,,G6B,112,6152
4337,0,1,20001-30000,Stratford,Estrie,,G0Y,112,6144
4338,55-65,0,20001-30000,Stratford,Estrie,,G0Y,112,6145
4385,55-65,1,10001-20000,Lac-Drolet,Estrie,,G0Y,112,6083
4406,31-54,0,10001-20000,Saint-Sébastien,Estrie,,G0Y,112,6081
4407,66-80,0,20001-30000,Lac-Mégantic,Estrie,,G6B,112,6082
4418,66-80,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,6051
4419,55-65,0,50001-,Marston,Estrie,,G0Y,112,6052
4420,66-80,1,50001-,Marston,Estrie,,G0Y,112,6053
4439,31-54,1,50001-,Marston,Estrie,,G0Y,112,6031
4512,81-95,1,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5961
4514,66-80,1,0,La Patrie,Estrie,,J0B,112,5963
4582,55-65,1,10001-20000,Lambton,Estrie,,G0Y,112,5886
4583,31-54,0,10001-20000,Saint-Martin,Chaudière-Appalaches,,G0M,112,5887
4594,31-54,0,30001-50000,Stratford,Estrie,,G0Y,112,5930
4604,66-80,0,30001-50000,Stratford,Estrie,,G0Y,112,5905
4605,66-80,0,30001-50000,Stratford,Estrie,,G0Y,112,5906
4606,0,0,20001-30000,Stratford,Estrie,,G0Y,112,5907
4621,66-80,1,10001-20000,Audet,Estrie,,G0Y,112,5847
4645,31-54,0,30001-50000,Lac-Drolet,Estrie,,G0Y,112,5827
4663,66-80,1,10001-20000,Lac-Mégantic,Estrie,,G6B,112,5808
4664,66-80,1,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5809
4732,31-54,0,50001-,Montréal,Montréal,Ahuntsic-Cartierville,H2B,104,5737
4752,66-80,1,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5726
4774,66-80,1,0-10000,Saint-Robert-Bellarmin,Estrie,,G0A,112,5721
4803,66-80,1,50001-,Stratford,Estrie,,J0Y,112,5664
4805,66-80,0,30001-50000,Stratford,Estrie,,G0Y,112,5666
4806,66-80,0,20001-30000,Stratford,Estrie,,G0Y,112,5667
4807,66-80,1,20001-30000,Stratford,Estrie,,G0Y,112,5668
4808,81-95,0,10001-20000,Stratford,Estrie,,G0Y,112,5669
4809,66-80,1,20001-30000,Stratford,Estrie,,G0Y,112,5670
4810,81-95,1,10001-20000,Stratford,Estrie,,G0Y,112,5671
4811,66-80,0,0,Sainte-Cécile-de-Whitton,Estrie,,G0Y,112,5658
4816,31-54,1,10001-20000,Lac-Mégantic,Estrie,,G6B,112,5655
4817,0,0,30001-50000,Lac-Drolet,Estrie,,G0Y,112,5656
4836,0,\N,,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,116,5626
4837,55-65,0,0-10000,Lambton,Estrie,,G0M,112,5627
4850,81-95,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,5625
4880,55-65,0,0,Lac-Drolet,Estrie,,G0Y,112,5590
4971,55-65,0,30001-50000,Milan,Estrie,,G0Y,112,5501
4972,31-54,1,20001-30000,Saint-Gédéon-de-Beauce,Chaudière-Appalaches,,G0M,112,5502
4992,55-65,0,10001-20000,Lac-Mégantic,Estrie,,G6B,112,5486
5027,0,0,30001-50000,Lac-Drolet,Estrie,,G0Y,112,5441
5029,66-80,1,0,Lac-Mégantic,Estrie,,G6B,112,5443
5030,55-65,0,50001-,Lac-Drolet,Estrie,,G0Y,112,5444
5042,55-65,1,10001-20000,Nantes,Estrie,,G6B,112,5412
5067,66-80,0,20001-30000,Saint-Ludger,Estrie,,G0M,112,5411
5133,66-80,0,0-10000,Lac-Mégantic,Estrie,,G6B,112,5336
5142,66-80,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,5329
5165,55-65,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,5307
5199,31-54,0,0-10000,Nantes,Estrie,,G6B,112,5273
5200,0,0,20001-30000,Nantes,Estrie,,G0Y,112,5274
5221,66-80,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,5270
5225,55-65,0,30001-50000,Stratford,Estrie,,G0Y,112,5237
5226,55-65,1,30001-50000,Stratford,Estrie,,G0Y,112,5238
5313,66-80,0,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5177
5345,31-54,1,10001-20000,Magog,Estrie,,J1X,109,5131
5384,66-80,1,0-10000,Lac-Mégantic,Estrie,,G6B,112,5083
5388,31-54,0,50001-,Lac-Mégantic,Estrie,,G6B,112,5085
5391,55-65,0,30001-50000,Stornoway,Estrie,,G0Y,112,5080
5428,66-80,0,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5037
5433,31-54,0,20001-30000,Lac-Mégantic,Estrie,,G6B,112,5035
5434,66-80,1,30001-50000,Sainte-Cécile-de-Whitton,Estrie,,G0Y,112,5036
5439,55-65,0,50001-,Lac-Mégantic,Estrie,,G6B,112,5031
5440,55-65,0,0,Sainte-Cécile-de-Whitton,Estrie,,G0Y,112,5032
5442,31-54,0,20001-30000,Milan,Estrie,,G0Y,112,5021
