source,target,duree,date,service,detailservice,accorderie,id
176,178,00:30:00,2009-03-25,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12464
176,175,00:30:00,2009-03-25,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12465
176,173,00:30:00,2009-03-25,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12466
176,175,00:30:00,2009-03-19,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12619
176,175,00:30:00,2009-03-26,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12620
176,173,00:30:00,2009-03-19,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12621
176,178,00:30:00,2009-03-19,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12622
176,174,00:30:00,2009-03-26,Cuisine / Alimentation,Initiation cuisine végétarienne,112.0,12623
176,162,01:00:00,2009-06-12,Échanges associatifs,Développement d'outils pour L'Accorderie,112.0,13566
176,162,02:00:00,2009-06-26,Échanges associatifs,Production de sacs écologiques pour Accorderie,112.0,13697
176,162,02:00:00,2009-08-05,Échanges associatifs,Production de sacs écologiques pour Accorderie,112.0,14148
176,162,03:00:00,2009-11-06,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,112.0,15359
176,162,04:00:00,2009-11-28,Échanges associatifs,Production de sacs écologiques pour Accorderie,112.0,15718
176,162,02:00:00,2010-02-17,Échanges associatifs,Production de sacs écologiques pour Accorderie,112.0,16830
176,171,00:30:00,2010-02-24,Hébergement / Voyage / Stationnement,Conseils pour préparation voyage,112.0,16842
176,172,02:00:00,2010-02-24,Cuisine / Alimentation,Confection desserts pour événements,112.0,16844
176,166,00:30:00,2010-06-16,Cuisine / Alimentation,Cuisine plats ou repas,112.0,18728
176,168,00:30:00,2010-06-16,Cuisine / Alimentation,Cuisine plats ou repas,112.0,18729
176,175,00:30:00,2010-06-16,Cuisine / Alimentation,Cuisine plats ou repas,112.0,18730
176,171,00:30:00,2010-06-16,Cuisine / Alimentation,Cuisine plats ou repas,112.0,18731
176,169,00:30:00,2010-07-15,Informatique / Bureautique,Recherche Internet,112.0,19064
176,162,03:00:00,2010-08-18,Échanges associatifs,Tâches cléricales pour L'Accorderie,112.0,19331
176,162,02:00:00,2010-11-03,,,112.0,20452
176,165,00:30:00,2010-11-18,Cuisine / Alimentation,Confection desserts pour événements,112.0,20635
176,164,00:30:00,2010-11-18,Cuisine / Alimentation,Confection desserts pour événements,112.0,20636
176,173,00:30:00,2010-12-15,Cuisine / Alimentation,Cuisine plats ou repas,112.0,21488
176,165,00:30:00,2010-12-15,Cuisine / Alimentation,Cuisine plats ou repas,112.0,21489
176,170,00:30:00,2010-12-15,Cuisine / Alimentation,Cuisine plats ou repas,112.0,21490
176,177,00:30:00,2010-12-15,Cuisine / Alimentation,Cuisine plats ou repas,112.0,21491
176,167,00:30:00,2010-12-15,Cuisine / Alimentation,Cuisine plats ou repas,112.0,21492
176,162,07:00:00,2011-03-08,Achat regroupé,Partage des commandes,112.0,22109
176,162,03:00:00,2011-08-13,Échanges associatifs,Animation kiosque pour L'Accorderie,112.0,24997
159,144,01:30:00,2014-03-06,,,112.0,43205
176,162,06:00:00,2012-03-24,Échanges associatifs,Animation kiosque pour L'Accorderie,112.0,28472
176,162,02:00:00,2012-03-28,Échanges associatifs,Session d'accueil de L'Accorderie,112.0,28510
176,162,04:00:00,2012-04-04,Échanges associatifs,Tâches cléricales pour L'Accorderie,112.0,28560
176,162,04:00:00,2012-04-03,Échanges associatifs,Tâches manuelles pour L'Accorderie,112.0,29039
153,159,02:00:00,2014-01-15,Arts / Culture / Éducation,Apprentissage du piano,112.0,41960
134,161,01:00:00,2014-02-01,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,112.0,42483
147,159,01:30:00,2014-01-16,Travaux / Entretien / Jardinage,Menus travaux électricité,112.0,41997
140,159,01:00:00,2014-01-15,Arts / Culture / Éducation,Initiation art des Poï,112.0,41998
147,160,04:30:00,2014-02-10,Travaux / Entretien / Jardinage,Menus travaux électricité,112.0,42632
133,161,00:30:00,2014-02-12,Échanges associatifs,Communications pour L'Accorderie,112.0,42756
151,156,01:00:00,2014-01-30,Artisanat / Couture / Vêtements,Coud bas de pantalon,112.0,42820
138,136,01:00:00,2014-02-22,Travaux / Entretien / Jardinage,Entretien ou réparation tondeuse / souffleuse,112.0,43087
146,161,02:00:00,2014-02-23,Échanges associatifs,Graphisme pour L'Accorderie,112.0,43088
153,159,02:00:00,2014-02-28,Arts / Culture / Éducation,Apprentissage du piano,112.0,43140
160,116,03:30:00,2014-02-28,Transport / Déménagement,Transport avec remorque,112.0,43141
146,161,00:30:00,2014-03-01,Échanges associatifs,Graphisme pour L'Accorderie,112.0,43231
146,161,00:30:00,2014-03-11,Échanges associatifs,Graphisme pour L'Accorderie,112.0,43500
