id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
20,0,0,0,Baie-Comeau,Côte-Nord,,G5C,117,10446
344,31-54,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,10124
350,0,0,30001-50000,Baie-Comeau,Côte-Nord,,G5C,117,10139
492,55-65,1,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,9975
612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
920,66-80,1,50001-,Baie-Comeau,Côte-Nord,,G4Z,117,9552
1068,66-80,0,30001-50000,Baie-Comeau,Côte-Nord,,G5C,117,9406
1123,81-95,0,50001-,Baie-Comeau,Côte-Nord,,G5C,117,9347
1143,18-30,0,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,9329
1169,55-65,1,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,9291
1179,55-65,0,0-10000,Baie-Comeau,Côte-Nord,,G5C,117,9286
1195,55-65,1,30001-50000,Pointe-aux-Outardes,Côte-Nord,,G0H,117,9271
1210,31-54,0,0,Baie-Comeau,Côte-Nord,,G5C,117,9260
1227,66-80,0,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,9239
1259,31-54,1,0,Baie-Comeau,Côte-Nord,,G4Z,117,9211
1370,0,0,50001-,Baie-Comeau,Côte-Nord,,G5C,117,9100
1400,55-65,0,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,9066
1470,66-80,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,8996
1553,31-54,0,10001-20000,Baie-Comeau,Côte-Nord,,G4Z,117,8914
1557,66-80,1,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,8907
1558,55-65,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,8908
1577,31-54,0,30001-50000,Ragueneau,Côte-Nord,,G0H,117,8892
1697,66-80,0,0,Baie-Comeau,Côte-Nord,,G5C,117,8770
1710,66-80,0,10001-20000,Franquelin,Côte-Nord,,G0H,117,8756
1770,31-54,1,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,8699
1856,0,0,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,8611
1857,0,0,0,Baie-Comeau,Côte-Nord,,G4Z,117,8610
1871,0,\N,,Amqui,Bas-Saint-Laurent,,G5J,118,8593
1876,31-54,0,0,Baie-Comeau,Côte-Nord,,G5C,117,8591
2095,55-65,1,50001-,Baie-Comeau,Côte-Nord,,G4Z,117,8378
2096,,0,0,Baie-Comeau,Côte-Nord,,G4Z,117,8379
2282,31-54,1,50001-,Baie-Comeau,Côte-Nord,,G5C,117,8188
2506,31-54,0,50001-,Pointe-Lebel,Côte-Nord,,G0H,117,7957
2710,31-54,1,30001-50000,Baie-Comeau,Côte-Nord,,G5C,117,7754
2716,66-80,1,20001-30000,Ragueneau,Côte-Nord,,G0H,117,7751
2730,81-95,0,30001-50000,Baie-Comeau,Côte-Nord,,G5C,117,7736
2731,31-54,1,50001-,Baie-Comeau,Côte-Nord,,G5C,117,7737
2793,31-54,0,50001-,Pointe-aux-Outardes,Côte-Nord,,G0H,117,7680
