id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
1347,66-80,0,20001-30000,Saint-Ulric,Bas-Saint-Laurent,,G0J,110,9128
1404,31-54,1,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,9070
1448,18-30,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,9020
1485,31-54,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8988
1494,55-65,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8976
1533,55-65,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,8933
1548,81-95,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,8916
1560,66-80,0,50001-,Baie-des-Sables,Bas-Saint-Laurent,,G0J,110,8910
1764,31-54,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,8720
1924,66-80,1,10001-20000,Les Méchins,Bas-Saint-Laurent,,G4W,110,8548
2004,55-65,1,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8470
2073,55-65,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,8393
2284,55-65,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,8182
2285,66-80,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8183
2305,31-54,0,30001-50000,Saint-Léandre,Bas-Saint-Laurent,,G0J,110,8161
2374,31-54,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,8117
2375,66-80,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,8118
2377,66-80,0,50001-,Grosses-Roches,Bas-Saint-Laurent,,G0J,110,8089
2378,31-54,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8111
2379,66-80,0,20001-30000,Saint-Léandre,Bas-Saint-Laurent,,G0J,110,8114
2380,66-80,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,8121
2390,55-65,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,8088
2406,31-54,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,8071
2434,55-65,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,8025
2435,66-80,0,10001-20000,Saint-Ulric,Bas-Saint-Laurent,,G0J,110,8028
2436,31-54,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,8030
2442,31-54,0,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,8022
2445,55-65,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,8023
2447,55-65,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,8027
2489,66-80,0,20001-30000,Saint-Adelme,Bas-Saint-Laurent,,G0J,110,7976
2519,31-54,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,7934
2525,81-95,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,7943
2543,31-54,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,7903
2712,66-80,0,10001-20000,Saint-René-de-Matane,Bas-Saint-Laurent,,G0J,110,7752
2747,31-54,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,7708
2797,31-54,1,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,7681
2965,55-65,0,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,7511
3011,55-65,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,7459
3013,55-65,1,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,7461
3050,31-54,1,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,7423
3075,55-65,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,7411
3145,31-54,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,7322
3223,31-54,1,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,7250
3225,31-54,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,7252
3269,31-54,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,7196
3322,66-80,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,7155
3462,31-54,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,7010
3505,31-54,0,50001-,Matane,Bas-Saint-Laurent,,G4W,110,4541
3508,66-80,0,20001-30000,Sainte-Félicité,Bas-Saint-Laurent,,G0J,110,6965
3509,66-80,1,20001-30000,Sainte-Félicité,Bas-Saint-Laurent,,G0J,110,6966
3526,66-80,1,20001-30000,Saint-Ulric,Bas-Saint-Laurent,,G0J,110,6952
3545,55-65,1,20001-30000,Sainte-Félicité,Bas-Saint-Laurent,,G0J,110,6941
3558,31-54,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6942
3559,55-65,1,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6943
3560,66-80,0,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,6944
3561,55-65,1,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6945
3590,0,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6880
3593,31-54,1,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6885
3615,55-65,1,50001-,Matane,Bas-Saint-Laurent,,G4W,110,6881
3616,66-80,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6882
3636,31-54,1,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6850
3637,31-54,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6851
3640,31-54,1,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6848
3668,31-54,1,20001-30000,Matane,Bas-Saint-Laurent,,G4W,110,6847
3767,55-65,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6704
3797,55-65,1,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6700
3879,66-80,0,10001-20000,Matane,Bas-Saint-Laurent,,G4W,110,6588
3888,55-65,1,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,6575
3940,66-80,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6535
3967,66-80,0,30001-50000,Matane,Bas-Saint-Laurent,,G4W,110,6511
4016,31-54,0,0-10000,Matane,Bas-Saint-Laurent,,G4W,110,6455
