source,target,duree,date,service,detailservice,accorderie,id
157,156,01:00:00,2013-08-13,Santé / Maternité / Esthétique,Méditation,110.0,38438
166,150,01:00:00,2013-09-08,Artisanat / Couture / Vêtements,Coud bas de pantalon,110.0,38916
166,152,02:30:00,2013-09-14,Artisanat / Couture / Vêtements,Coud bas de pantalon,110.0,39083
163,171,03:00:00,2013-09-24,Cuisine / Alimentation,Préparation muffins,110.0,39365
168,163,01:00:00,2013-10-02,Transport / Déménagement,Des bras pour moyen déménagement,110.0,39569
153,171,01:30:00,2013-10-30,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40227
160,171,01:30:00,2013-10-30,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40228
157,171,00:30:00,2013-11-06,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40599
146,171,00:30:00,2013-11-06,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40601
147,171,02:00:00,2013-11-06,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40602
153,171,01:00:00,2013-11-06,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,40603
146,135,02:00:00,2013-11-21,Arts / Culture / Éducation,Prise de photos général,110.0,41044
159,147,01:00:00,2013-11-27,Artisanat / Couture / Vêtements,Leçons de tricot,110.0,41189
163,171,01:00:00,2013-11-28,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41197
133,171,01:00:00,2013-11-28,Accompagnement / Gardiennage / Animaux,Accompagnement sortie culturelle,110.0,41198
160,171,00:30:00,2013-11-28,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41199
151,171,00:30:00,2013-11-28,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41200
169,171,00:30:00,2013-11-28,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41201
138,171,00:30:00,2013-11-28,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41202
132,171,00:30:00,2013-11-26,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41203
162,171,00:30:00,2013-11-26,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,41204
160,171,01:30:00,2013-12-12,Échanges associatifs,Rencontre de travail comité gestion,110.0,41735
131,139,02:30:00,2013-12-21,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,41796
166,142,02:00:00,2013-12-09,Artisanat / Couture / Vêtements,Petites réparations vêtements,110.0,41943
150,154,01:00:00,2014-01-29,Santé / Maternité / Esthétique,Initiation yoga,110.0,42403
150,130,01:00:00,2014-01-29,Santé / Maternité / Esthétique,Initiation yoga,110.0,42405
157,153,01:00:00,2014-01-31,Santé / Maternité / Esthétique,Initiation yoga,110.0,42463
160,171,03:00:00,2014-02-04,Échanges associatifs,Rencontre de travail comité gestion,110.0,42895
160,171,02:00:00,2014-02-06,Échanges associatifs,Rencontre de travail comité gestion,110.0,42896
160,171,02:00:00,2014-02-12,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42897
160,171,02:00:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42898
163,171,00:30:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42899
162,171,00:30:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42900
154,171,02:30:00,2014-02-05,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42901
159,171,00:30:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42902
129,171,00:30:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42905
128,171,03:00:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42912
170,171,00:30:00,2014-02-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,110.0,42913
162,171,01:30:00,2013-10-15,Échanges associatifs,Rencontre de travail comité gestion,110.0,43044
162,171,01:30:00,2013-11-12,Échanges associatifs,Rencontre de travail comité gestion,110.0,43045
162,171,00:30:00,2014-02-22,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43050
162,171,02:30:00,2014-02-23,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43051
160,171,04:00:00,2014-02-22,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43052
160,171,01:00:00,2014-02-23,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43053
170,171,01:30:00,2014-02-22,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43054
150,130,00:30:00,2014-02-26,Santé / Maternité / Esthétique,Initiation yoga,110.0,43090
154,171,03:00:00,2014-02-23,Échanges associatifs,Animation kiosque pour L'Accorderie,110.0,43056
150,154,01:00:00,2014-02-26,Santé / Maternité / Esthétique,Initiation yoga,110.0,43089
163,170,01:00:00,2014-02-23,Artisanat / Couture / Vêtements,Coud bas de pantalon,110.0,43061
168,163,02:00:00,2014-02-23,Transport / Déménagement,Des bras pour moyen déménagement,110.0,43062
160,171,02:00:00,2014-03-27,Échanges associatifs,Rencontre de travail comité gestion,110.0,44192
153,171,02:00:00,2014-03-27,Échanges associatifs,Rencontre de travail comité gestion,110.0,44191
166,168,06:00:00,2014-02-22,Artisanat / Couture / Vêtements,Petites réparations vêtements,110.0,43085
148,149,02:00:00,2014-03-05,Artisanat / Couture / Vêtements,Petites réparations vêtements,110.0,43328
125,162,01:30:00,2014-03-26,Santé / Maternité / Esthétique,Massothérapie thérapeutique,110.0,43835
