id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
31,31-54,1,50001-,Rimouski,Bas-Saint-Laurent,,G0L,118,10438
45,66-80,0,20001-30000,Amqui,Bas-Saint-Laurent,,G5J,118,10425
242,66-80,0,30001-50000,Rimouski,Bas-Saint-Laurent,,G5J,118,10229
358,55-65,0,20001-30000,Rimouski,Bas-Saint-Laurent,,G5L,118,10110
546,66-80,1,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,9924
571,31-54,0,30001-50000,Saint-Tharcisius,Bas-Saint-Laurent,,G0J,118,9900
612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
702,18-30,1,50001-,Rimouski,Bas-Saint-Laurent,,G5N,118,9767
835,31-54,1,50001-,Val-Brillant,Bas-Saint-Laurent,,G0J,118,9636
852,66-80,0,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,9617
892,66-80,0,0-10000,Amqui,Bas-Saint-Laurent,,G5J,118,9577
900,66-80,0,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,9572
901,66-80,1,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,9573
925,66-80,0,10001-20000,Sayabec,Bas-Saint-Laurent,,G0J,118,9542
971,66-80,0,20001-30000,Amqui,Bas-Saint-Laurent,,G5J,118,9539
1090,66-80,0,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,9381
1444,31-54,0,0-10000,Saint-Cléophas,Bas-Saint-Laurent,,G0J,118,9025
1467,55-65,0,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,9003
1489,0,1,20001-30000,Saint-Moïse,Bas-Saint-Laurent,,G0J,118,8989
1490,0,0,50001-,Saint-Noël,Bas-Saint-Laurent,,G0J,118,8990
1500,55-65,1,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,8970
1521,66-80,1,30001-50000,Saint-Noël,Bas-Saint-Laurent,,G0J,118,8945
1532,66-80,0,0,Amqui,Bas-Saint-Laurent,,G5J,118,8936
1543,31-54,0,10001-20000,Amqui,Bas-Saint-Laurent,,G5J,118,8925
1576,31-54,0,10001-20000,Amqui,Bas-Saint-Laurent,,G5J,118,8894
1599,66-80,0,20001-30000,Sayabec,Bas-Saint-Laurent,,G0J,118,8861
1608,96-150,1,20001-30000,Causapscal,Bas-Saint-Laurent,,G0J,118,8860
1617,55-65,0,20001-30000,Amqui,Bas-Saint-Laurent,,G5J,118,8858
1649,66-80,0,10001-20000,Amqui,Bas-Saint-Laurent,,G5J,118,8822
1660,55-65,1,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,8807
1670,31-54,1,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,8797
1690,66-80,0,50001-,Saint-Moïse,Bas-Saint-Laurent,,G0J,118,8782
1703,66-80,1,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,8758
1722,66-80,1,50001-,Rimouski,Bas-Saint-Laurent,,G5L,118,8723
1724,31-54,0,50001-,Sainte-Florence,Bas-Saint-Laurent,,G0J,118,8741
1729,55-65,1,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,8740
1735,66-80,0,30001-50000,Saint-Noël,Bas-Saint-Laurent,,G0J,118,8732
1736,31-54,0,0,Saint-Léon-le-Grand,Bas-Saint-Laurent,,G0J,118,8733
1839,31-54,1,30001-50000,Saint-Moïse,Bas-Saint-Laurent,,G0J,118,8627
1840,55-65,0,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,8628
1871,0,\N,,Amqui,Bas-Saint-Laurent,,G5J,118,8593
1872,0,0,0,Amqui,Bas-Saint-Laurent,,G5J,118,8594
1874,96-150,0,30001-50000,Amqui,Bas-Saint-Laurent,,G5J,118,8597
2067,66-80,0,20001-30000,Rimouski,Bas-Saint-Laurent,,G0L,118,8409
2200,55-65,0,10001-20000,Rimouski,Bas-Saint-Laurent,,G5L,108,8264
