source,target,duree,date,service,detailservice,accorderie,id
96,95,02:00:00,2011-04-16,Administration / Emploi / Organisation,Aide pour remplir formulaires,118.0,23593
96,94,05:30:00,2011-12-28,Informatique / Bureautique,Recherche Internet,118.0,27112
90,93,01:30:00,2013-04-16,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,118.0,37637
90,93,02:00:00,2013-03-23,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,118.0,37636
90,93,02:00:00,2013-02-23,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,118.0,37635
90,93,06:00:00,2013-04-13,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,118.0,37634
90,93,02:00:00,2013-02-13,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,118.0,37633
90,93,01:00:00,2013-06-20,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,118.0,37661
80,93,06:00:00,2013-08-27,Échanges associatifs,Accueil/réception permanence Accorderie,118.0,38660
80,93,04:00:00,2013-08-15,Échanges associatifs,Facteur et factrice d'un jour,118.0,38599
80,93,00:30:00,2013-08-16,Échanges associatifs,Facteur et factrice d'un jour,118.0,38600
90,87,02:00:00,2013-07-21,,,118.0,38661
80,93,03:30:00,2013-08-24,Échanges associatifs,Accueil/réception permanence Accorderie,118.0,39025
78,77,01:30:00,2013-09-14,Travaux / Entretien / Jardinage,Menus travaux plomberie,118.0,39108
80,93,02:00:00,2013-09-12,Accompagnement / Gardiennage / Animaux,Garde d'animaux à votre maison,118.0,39111
90,93,03:00:00,2013-09-21,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,118.0,39265
90,79,02:00:00,2013-09-28,Sports / Loisirs / Animation,Initiation soins des chevaux,118.0,39533
78,86,05:00:00,2013-07-05,Travaux / Entretien / Jardinage,Aide pour rénovation,118.0,39686
80,93,01:30:00,2013-10-10,Échanges associatifs,Comité contact communautaire,118.0,39724
80,93,03:00:00,2013-10-19,Échanges associatifs,Comité contact communautaire,118.0,39898
96,93,03:00:00,2013-11-04,Échanges associatifs,Accueil/réception permanence Accorderie,118.0,40431
78,90,01:00:00,2013-11-14,Travaux / Entretien / Jardinage,Menus travaux plomberie,118.0,41241
78,87,02:00:00,2014-02-04,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,118.0,42485
78,75,02:30:00,2014-01-21,Travaux / Entretien / Jardinage,Menus travaux électricité,118.0,42137
