id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
12,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,10460
96,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,10373
97,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,10371
98,66-80,0,50001-,Brossard,Montérégie,,J4Z,115,10370
100,31-54,0,0-10000,Saint-Lambert,Montérégie,,J4R,115,10375
226,31-54,0,50001-,Brossard,Montérégie,,J4W,115,10242
259,66-80,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,10209
392,31-54,1,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,10072
397,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,10071
398,0,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4R,115,10073
399,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,10083
408,66-80,0,10001-20000,Brossard,Montérégie,,J4Z,115,10056
419,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,10045
420,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,10046
421,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,10047
422,55-65,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,10048
439,0,0,30001-50000,Brossard,Montérégie,,J4X,115,10054
445,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,10025
447,55-65,1,0-10000,Longueuil,Montérégie,Greenfield Park,J4R,115,10020
448,81-95,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,10021
449,55-65,0,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,10022
459,66-80,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,10006
460,0,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,10007
493,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,10003
494,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,10004
496,31-54,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,10009
507,55-65,0,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,9969
510,31-54,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9970
511,18-30,0,20001-30000,Saint-Basile-le-Grand,Montérégie,,J3N,115,9971
536,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9933
548,0,0,10001-20000,Boucherville,Montérégie,,J4B,115,9915
549,55-65,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9917
550,66-80,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9918
552,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,9930
581,31-54,0,30001-50000,Varennes,Montérégie,,J3X,115,9878
583,81-95,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9880
584,66-80,1,20001-30000,Chambly,Montérégie,,J3L,115,9881
585,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9882
586,55-65,0,0-10000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9883
587,66-80,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9892
588,66-80,0,0-10000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9895
599,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9869
604,55-65,0,30001-50000,Saint-Jean-Baptiste,Montérégie,,J0L,115,9862
605,66-80,0,20001-30000,Saint-Lambert,Montérégie,,J4R,115,9863
606,31-54,0,0-10000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9864
612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
636,66-80,0,20001-30000,Saint-Lambert,Montérégie,,J4R,115,9834
638,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9827
639,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9828
640,31-54,1,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9829
641,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9830
642,66-80,1,50001-,Beloeil,Montérégie,,J3G,115,9831
643,31-54,0,0-10000,La Prairie,Montérégie,,J5R,115,9832
651,66-80,1,30001-50000,Montréal,Montréal,Montréal-Nord,H2L,114,9820
661,31-54,0,30001-50000,Richelieu,Montérégie,,J3L,115,9798
662,81-95,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9799
664,66-80,1,20001-30000,Candiac,Montérégie,,J5R,115,9801
672,66-80,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9797
684,55-65,0,30001-50000,Saint-Lambert,Montérégie,,J4P,115,9785
686,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9787
729,66-80,0,30001-50000,Montréal,Montréal,Ville-Marie,H2L,115,9744
730,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,9745
732,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9747
760,66-80,0,20001-30000,Brossard,Montérégie,,J4X,115,9708
761,31-54,1,30001-50000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9709
799,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9670
802,31-54,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9664
803,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4M,115,9665
805,55-65,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9667
816,66-80,0,20001-30000,Longueuil,Montérégie,Greenfield Park,J4R,115,9652
829,66-80,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9637
830,55-65,0,20001-30000,Montréal,Montréal,Verdun,H4H,115,9638
832,66-80,0,10001-20000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9633
851,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,9624
854,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9611
855,66-80,0,30001-50000,Boucherville,Montérégie,,J4B,115,9612
856,31-54,0,30001-50000,Verchères,Montérégie,,J0L,115,9613
857,0,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9614
858,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9615
863,31-54,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9606
875,66-80,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,115,9594
880,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9588
885,66-80,1,20001-30000,Brossard,Montérégie,,J4Z,115,9581
886,66-80,0,20001-30000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9582
887,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9584
888,66-80,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9585
890,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9587
904,31-54,0,20001-30000,Saint-Lambert,Montérégie,,J4P,115,9565
905,66-80,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9566
929,31-54,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9549
934,31-54,0,30001-50000,Richelieu,Montérégie,,J3L,115,9533
935,31-54,0,0-10000,Saint-Amable,Montérégie,,J0L,115,9534
937,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9536
938,31-54,0,0-10000,Saint-Amable,Montérégie,,J0L,115,9545
947,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9518
948,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9519
954,31-54,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,9515
958,81-95,0,0-10000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9510
959,81-95,1,0,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9511
968,0,1,30001-50000,Brossard,Montérégie,,J4Z,115,9500
969,66-80,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9501
978,66-80,0,10001-20000,Montréal,Montréal,Le Plateau-Mont-Royal,H2H,114,9492
984,31-54,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9487
990,31-54,0,50001-,Saint-Denis-sur-Richelieu,Montérégie,,J0H,115,9479
992,66-80,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9481
995,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9477
996,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9478
1003,31-54,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9467
1006,31-54,0,0-10000,Brossard,Montérégie,,J4W,115,9455
1019,0,0,20001-30000,Brossard,Montérégie,,J4Z,115,9445
1023,55-65,0,20001-30000,Candiac,Montérégie,,J5R,115,9448
1026,66-80,0,20001-30000,Candiac,Montérégie,,J5R,115,9451
1035,55-65,1,30001-50000,Saint-Jean-de-Matha,Lanaudière,,J0K,115,9434
1036,0,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4N,115,9435
1037,55-65,1,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9436
1043,55-65,0,20001-30000,Brossard,Montérégie,,J4Z,115,9421
1060,31-54,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9412
1062,0,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,9410
