source,target,duree,date,service,detailservice,accorderie,id
571,573,03:30:00,2008-05-18,Travaux / Entretien / Jardinage,Ménage léger,115.0,10560
571,570,01:00:00,2008-10-15,Travaux / Entretien / Jardinage,Nettoyage saisonnier de terrains,115.0,11188
556,558,04:00:00,2011-06-14,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,115.0,23909
556,558,04:30:00,2011-05-18,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,115.0,23382
556,558,04:30:00,2011-04-19,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,115.0,23972
556,558,02:00:00,2011-05-25,Échanges associatifs,Tâches cléricales pour L'Accorderie,115.0,23973
556,558,10:00:00,2011-06-18,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,115.0,24120
550,537,02:00:00,2011-06-08,Langues / Littérature,Conversation française,115.0,24195
548,538,02:00:00,2011-07-11,Achat regroupé,Partage des commandes,115.0,24493
556,558,02:00:00,2011-07-07,Échanges associatifs,Tâches cléricales pour L'Accorderie,115.0,25000
556,558,02:00:00,2011-07-02,Échanges associatifs,Tâches cléricales pour L'Accorderie,115.0,25001
556,558,01:00:00,2011-08-22,Échanges associatifs,Tâches cléricales pour L'Accorderie,115.0,25078
541,569,02:00:00,2011-09-19,Travaux / Entretien / Jardinage,Réparation appareils électroniques,115.0,25291
554,568,04:00:00,2011-09-23,Artisanat / Couture / Vêtements,Modifications vêtements,115.0,25391
556,558,06:00:00,2011-08-18,Crédit solidaire,Analyse d'une demande de prêt,115.0,25593
541,544,03:00:00,2011-10-03,Arts / Culture / Éducation,Accordeur de piano,115.0,25925
548,555,03:30:00,2011-08-19,Accompagnement / Gardiennage / Animaux,Visite maison lors d'absence,115.0,25940
548,555,04:00:00,2011-09-15,Accompagnement / Gardiennage / Animaux,Visite maison lors d'absence,115.0,25941
541,569,03:00:00,2011-10-29,Travaux / Entretien / Jardinage,Réparation appareils électroniques,115.0,25996
548,538,01:00:00,2011-11-02,Achat regroupé,Transport pour commande,115.0,26071
556,563,06:00:00,2011-11-05,Crédit solidaire,Analyse d'une demande de prêt,115.0,26181
556,558,05:00:00,2011-11-09,Crédit solidaire,Analyse d'une demande de prêt,115.0,26182
554,533,02:00:00,2011-11-29,Artisanat / Couture / Vêtements,Modifications vêtements,115.0,26813
556,558,05:30:00,2012-01-26,Crédit solidaire,Analyse d'une demande de prêt,115.0,27381
556,529,04:00:00,2012-01-24,Transport / Déménagement,Aide planification déménagement-ERREUR:103-C-6,115.0,27382
556,558,06:00:00,2012-01-26,Crédit solidaire,Analyse d'une demande de prêt,115.0,27386
