id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
517,31-54,0,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2J,88,9951
527,31-54,0,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9934
555,31-54,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,88,9912
570,55-65,1,50001-,Laval,Laval,,H7J,88,9893
601,55-65,0,10001-20000,Montréal,Montréal,Ville-Marie,H2K,88,9865
602,31-54,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,88,9866
603,66-80,0,20001-30000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9867
607,55-65,0,30001-50000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H2E,88,9861
613,66-80,0,10001-20000,Montréal-Est,Montréal,,H1B,88,9851
615,55-65,0,30001-50000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1N,88,9853
617,31-54,1,20001-30000,Montréal,Montréal,Ahuntsic-Cartierville,H3L,88,9855
627,66-80,0,10001-20000,Montréal,Montréal,Ville-Marie,H2L,88,7919
658,31-54,0,50001-,Montréal-Est,Montréal,,H1L,88,9810
660,96-150,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9812
674,55-65,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4T,88,9795
699,55-65,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9776
704,18-30,1,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2K,88,9765
706,31-54,0,30001-50000,Montréal,Montréal,Ville-Marie,H2K,88,9761
709,31-54,0,0-10000,Montréal,Montréal,Montréal-Nord,H1G,113,9764
710,66-80,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,88,9753
711,66-80,0,10001-20000,Montréal,Montréal,Ville-Marie,H2K,88,9754
750,0,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9718
755,55-65,0,30001-50000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9710
757,31-54,1,20001-30000,Terrebonne,Lanaudière,,J6X,88,9712
767,66-80,0,0,Saint-Mathias-sur-Richelieu,Montérégie,,J3L,88,9703
801,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1L,88,9669
811,18-30,1,20001-30000,Montréal,Montréal,Le Plateau-Mont-Royal,H2K,104,9660
817,31-54,1,50001-,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1L,88,9651
822,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9645
823,31-54,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,88,9646
