source,target,duree,date,service,detailservice,accorderie,id
879,804,01:30:00,2004-11-04,Achat regroupé,Partage des commandes,88.0,2160
879,804,02:30:00,2004-12-02,Achat regroupé,Partage des commandes,88.0,2173
884,824,05:30:00,2007-04-17,Accompagnement / Gardiennage / Animaux,Garde d'enfants au parc,88.0,2248
813,810,05:00:00,2007-07-02,Accompagnement / Gardiennage / Animaux,Garde d'animaux à ma maison,88.0,2261
843,804,01:30:00,2007-07-06,Achat regroupé,Partage des commandes,88.0,2360
843,804,02:00:00,2007-06-01,Achat regroupé,Partage des commandes,88.0,2370
821,804,02:00:00,2007-08-31,Achat regroupé,Partage des commandes,88.0,2413
826,804,02:30:00,2007-03-01,Achat regroupé,Partage des commandes,88.0,2788
843,804,02:00:00,2007-03-02,Achat regroupé,Partage des commandes,88.0,2806
826,804,02:30:00,2007-03-29,Achat regroupé,Partage des commandes,88.0,2823
873,804,00:30:00,2006-07-18,Autres transactions,Promotion saisonnière,88.0,2885
873,804,01:00:00,2006-04-03,Autres transactions,Bon cadeau,88.0,3289
813,804,01:00:00,2007-07-18,Autres transactions,Bon cadeau,88.0,3463
843,804,02:30:00,2007-06-01,Achat regroupé,Accueil ramassage commande,88.0,3705
873,804,02:00:00,2007-03-06,Achat regroupé,Accueil ramassage commande,88.0,3748
813,826,12:00:00,2007-05-27,Transport / Déménagement,Transport besoins divers,88.0,3825
813,810,05:00:00,2007-06-27,Transport / Déménagement,Transport besoins divers,88.0,3826
813,889,04:00:00,2007-08-10,Transport / Déménagement,Transport besoins divers,88.0,3834
873,875,01:00:00,2005-05-05,Arts / Culture / Éducation,Formation en chant,88.0,4098
873,871,00:30:00,2005-05-19,Arts / Culture / Éducation,Formation en chant,88.0,4152
873,875,00:30:00,2005-05-26,Arts / Culture / Éducation,Formation en chant,88.0,4154
873,876,01:00:00,2005-06-20,Arts / Culture / Éducation,Formation en chant,88.0,4155
873,870,01:00:00,2005-06-20,Arts / Culture / Éducation,Formation en chant,88.0,4156
873,875,01:30:00,2005-06-30,Arts / Culture / Éducation,Formation en chant,88.0,4158
873,886,01:00:00,2006-02-07,Arts / Culture / Éducation,Formation en chant,88.0,4160
873,881,02:00:00,2006-02-07,Arts / Culture / Éducation,Apprentissage du piano,88.0,4180
873,850,01:30:00,2006-03-06,Arts / Culture / Éducation,Apprentissage du piano,88.0,4181
873,850,01:30:00,2006-03-24,Arts / Culture / Éducation,Apprentissage du piano,88.0,4182
873,850,01:00:00,2006-03-28,Arts / Culture / Éducation,Apprentissage du piano,88.0,4183
873,851,01:00:00,2006-03-28,Arts / Culture / Éducation,Formation en chant,88.0,4184
873,850,01:30:00,2006-04-11,Arts / Culture / Éducation,Apprentissage du piano,88.0,4256
873,850,00:30:00,2006-04-18,Arts / Culture / Éducation,Apprentissage du piano,88.0,4258
873,850,01:00:00,2006-05-04,Arts / Culture / Éducation,Apprentissage du piano,88.0,4259
873,845,01:00:00,2006-05-04,Arts / Culture / Éducation,Formation en chant,88.0,4260
873,845,01:30:00,2006-05-12,Arts / Culture / Éducation,Formation en chant,88.0,4262
873,855,01:00:00,2006-05-17,Arts / Culture / Éducation,Formation en chant,88.0,4263
873,800,01:00:00,2006-05-23,Arts / Culture / Éducation,Formation en chant,88.0,4265
873,845,01:00:00,2006-05-26,Arts / Culture / Éducation,Formation en chant,88.0,4267
873,850,01:30:00,2006-05-17,Arts / Culture / Éducation,Apprentissage du piano,88.0,4268
873,850,00:30:00,2006-05-15,Arts / Culture / Éducation,Apprentissage du piano,88.0,4269
873,869,01:00:00,2006-06-14,Arts / Culture / Éducation,Apprentissage du piano,88.0,4272
873,850,00:30:00,2006-06-14,Arts / Culture / Éducation,Apprentissage du piano,88.0,4273
873,882,00:30:00,2006-06-12,Arts / Culture / Éducation,Formation en chant,88.0,4275
873,875,00:30:00,2006-06-12,Arts / Culture / Éducation,Formation en chant,88.0,4276
873,845,01:00:00,2005-07-31,Arts / Culture / Éducation,Formation en chant,88.0,4278
873,832,01:00:00,2006-07-25,Arts / Culture / Éducation,Apprentissage du piano,88.0,4320
873,832,01:00:00,2006-10-15,Arts / Culture / Éducation,Formation en chant,88.0,4321
873,827,01:00:00,2006-12-05,Arts / Culture / Éducation,Formation en chant,88.0,4324
873,827,01:00:00,2006-11-12,Arts / Culture / Éducation,Formation en chant,88.0,4325
873,831,02:00:00,2007-03-10,Arts / Culture / Éducation,Formation en chant,88.0,4464
873,828,01:00:00,2007-03-20,Arts / Culture / Éducation,Formation en chant,88.0,4465
873,818,01:00:00,2007-04-10,Arts / Culture / Éducation,Apprentissage du piano,88.0,4468
873,812,01:00:00,2007-06-13,Arts / Culture / Éducation,Apprentissage du piano,88.0,4525
821,833,02:00:00,2007-08-28,Arts / Culture / Éducation,Initiation photographie classique,88.0,4699
873,805,01:00:00,2007-10-02,Arts / Culture / Éducation,Apprentissage du piano,88.0,4701
873,805,01:00:00,2007-09-18,Arts / Culture / Éducation,Apprentissage du piano,88.0,4703
873,805,01:00:00,2007-09-11,Arts / Culture / Éducation,Apprentissage du piano,88.0,4704
873,805,01:00:00,2007-09-25,Arts / Culture / Éducation,Apprentissage du piano,88.0,4705
826,804,01:30:00,2007-08-29,Échanges associatifs,Envoi postal pour L'Accorderie,88.0,5079
847,804,01:00:00,2007-01-25,Autres transactions,Bon cadeau,88.0,5208
826,804,04:00:00,2007-02-17,Échanges associatifs,Foire d'échange / Salon des services de L'Accorderie,88.0,5375
873,804,01:00:00,2007-09-19,Autres transactions,Bon cadeau,88.0,5405
873,875,02:00:00,2005-08-12,Arts / Culture / Éducation,Formation en chant,88.0,5454
873,867,02:00:00,2005-10-13,Arts / Culture / Éducation,Formation en chant,88.0,5457
873,864,03:00:00,2005-10-13,Arts / Culture / Éducation,Formation en chant,88.0,5458
873,881,01:00:00,2005-10-19,Arts / Culture / Éducation,Apprentissage du piano,88.0,5467
873,863,01:00:00,2005-10-28,Arts / Culture / Éducation,Formation en chant,88.0,5468
873,861,02:00:00,2005-11-16,,,88.0,5472
873,877,01:00:00,2005-11-16,,,88.0,5473
873,869,01:00:00,2005-11-16,,,88.0,5475
873,875,01:00:00,2005-11-16,,,88.0,5476
873,858,01:00:00,2005-11-16,,,88.0,5477
873,859,01:00:00,2005-11-16,,,88.0,5478
873,875,01:00:00,2005-11-29,Arts / Culture / Éducation,Formation en chant,88.0,5479
879,804,02:00:00,2006-04-15,Échanges associatifs,Tâche contact communautaire,88.0,5513
873,874,01:00:00,2006-04-18,,,88.0,5514
873,851,02:00:00,2006-04-18,,,88.0,5515
873,890,01:00:00,2006-04-18,,,88.0,5516
873,875,01:00:00,2006-04-18,,,88.0,5517
873,840,01:00:00,2006-04-18,,,88.0,5518
873,872,01:00:00,2006-04-18,,,88.0,5519
873,856,01:00:00,2006-04-18,,,88.0,5520
873,881,01:00:00,2006-04-18,,,88.0,5521
873,882,01:00:00,2006-04-18,,,88.0,5522
873,845,01:00:00,2006-04-18,,,88.0,5528
873,844,01:00:00,2006-05-22,,,88.0,5537
873,847,01:00:00,2006-05-22,,,88.0,5538
873,860,01:30:00,2006-05-22,,,88.0,5540
873,840,02:00:00,2006-05-22,,,88.0,5541
873,858,03:00:00,2006-05-22,,,88.0,5542
873,872,01:30:00,2006-05-22,,,88.0,5543
873,848,01:30:00,2006-05-22,,,88.0,5544
873,868,01:30:00,2006-05-22,,,88.0,5545
873,862,01:30:00,2006-05-22,,,88.0,5546
873,888,03:00:00,2006-05-22,,,88.0,5547
873,875,00:30:00,2006-06-09,,,88.0,5559
873,883,01:00:00,2006-06-09,,,88.0,5560
873,848,01:30:00,2006-06-09,,,88.0,5561
873,845,01:30:00,2006-06-09,,,88.0,5562
879,887,03:30:00,2005-11-26,Autres transactions,Achat d'un objet à une foire d'échange,88.0,5752
879,865,01:00:00,2005-11-26,Autres transactions,Achat d'un objet à une foire d'échange,88.0,5764
879,891,00:30:00,2005-11-26,Autres transactions,Achat d'un objet à une foire d'échange,88.0,5766
873,866,03:00:00,2006-11-07,Arts / Culture / Éducation,Apprentissage du piano,88.0,7823
873,882,03:00:00,2006-11-07,Arts / Culture / Éducation,Apprentissage du piano,88.0,7822
813,886,01:00:00,2007-07-05,Informatique / Bureautique,Traitement de texte,88.0,6230
873,845,01:00:00,2006-07-05,Arts / Culture / Éducation,Formation en chant,88.0,6282
873,837,04:00:00,2006-12-20,,,88.0,6363
873,866,03:00:00,2006-12-20,,,88.0,6364
873,829,02:00:00,2006-12-20,,,88.0,6365
873,853,04:30:00,2007-02-01,Autres transactions,Transfert d'heures,88.0,6375
826,822,00:30:00,2007-02-19,Santé / Maternité / Esthétique,Réflexologie,88.0,6393
873,852,01:30:00,2007-03-06,Autres transactions,Achat d'un objet hors d'une foire d'échange,88.0,6409
826,804,02:30:00,2007-11-13,Achat regroupé,Appels téléphoniques achat regroupé,88.0,6544
873,805,01:00:00,2007-10-30,Arts / Culture / Éducation,Apprentissage du piano,88.0,6557
873,805,01:00:00,2007-10-23,Arts / Culture / Éducation,Apprentissage du piano,88.0,6556
873,805,01:00:00,2007-10-16,Arts / Culture / Éducation,Apprentissage du piano,88.0,6555
873,801,00:30:00,2007-11-02,,,88.0,6536
873,838,01:00:00,2007-11-02,,,88.0,6534
873,811,00:30:00,2007-11-02,,,88.0,6535
873,805,01:00:00,2007-11-06,Arts / Culture / Éducation,Apprentissage du piano,88.0,6558
826,885,01:00:00,2007-03-09,Santé / Maternité / Esthétique,Réflexologie,88.0,6641
826,876,02:00:00,2007-02-26,Santé / Maternité / Esthétique,Pédicure,88.0,6642
826,854,00:30:00,2007-03-15,Santé / Maternité / Esthétique,Réflexologie,88.0,6643
873,816,01:00:00,2007-04-05,,,88.0,6644
873,849,01:00:00,2007-04-05,,,88.0,6645
873,890,01:00:00,2007-04-05,,,88.0,6646
873,881,30:00:00,2007-05-01,Autres transactions,Transfert d'heures,88.0,6658
873,866,01:00:00,2007-05-04,,,88.0,6659
873,890,01:00:00,2007-05-04,,,88.0,6660
873,819,01:00:00,2007-06-01,,,88.0,6661
873,815,01:00:00,2007-06-01,,,88.0,6662
873,814,01:00:00,2007-06-01,,,88.0,6663
873,820,01:00:00,2007-06-01,,,88.0,6664
873,816,01:00:00,2007-06-01,,,88.0,6666
821,882,02:00:00,2007-04-22,Informatique / Bureautique,Montage numérique,88.0,6667
879,824,03:00:00,2007-04-09,Sports / Loisirs / Animation,Maquillage événements spéciaux,88.0,6693
879,890,00:30:00,2006-06-10,Sports / Loisirs / Animation,Maquillage événements spéciaux,88.0,6694
813,855,02:00:00,2007-06-30,Autres transactions,Transfert d'heures,88.0,6735
826,813,00:30:00,2007-08-14,Santé / Maternité / Esthétique,Réflexologie,88.0,6754
826,818,01:30:00,2007-08-20,Santé / Maternité / Esthétique,Réflexologie,88.0,6756
