source,target,duree,date,service,detailservice,accorderie,id
119,127,00:30:00,2009-12-04,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,16043
119,123,00:30:00,2009-12-04,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,16044
119,104,02:00:00,2010-01-19,Achat regroupé,Recherche informations pour achat regroupé,113.0,16333
119,104,01:30:00,2010-02-02,Achat regroupé,Recherche informations pour achat regroupé,113.0,16483
119,104,02:30:00,2010-02-09,Achat regroupé,Recherche informations pour achat regroupé,113.0,16575
119,104,02:00:00,2010-02-04,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,16588
119,104,05:00:00,2010-02-18,Achat regroupé,Recherche informations pour achat regroupé,113.0,16805
119,113,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17175
119,104,02:00:00,2010-02-23,Achat regroupé,Recherche informations pour achat regroupé,113.0,16988
119,104,08:00:00,2010-02-26,Achat regroupé,Recherche informations pour achat regroupé,113.0,16989
119,104,02:00:00,2010-02-25,Achat regroupé,Recherche informations pour achat regroupé,113.0,17010
119,104,02:00:00,2010-03-09,Achat regroupé,Recherche informations pour achat regroupé,113.0,17013
119,130,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17077
119,131,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17078
119,122,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17079
119,118,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17080
119,114,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17081
119,121,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17082
119,128,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17083
119,117,01:00:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17084
119,111,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17085
119,125,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17086
119,126,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17087
119,116,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17088
119,124,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17089
119,115,00:30:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17090
119,132,01:00:00,2010-03-05,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17091
119,110,01:30:00,2010-03-18,Cuisine / Alimentation,Cuisine plats haïtiens,113.0,17176
119,104,08:00:00,2010-02-17,Achat regroupé,Recherche informations pour achat regroupé,113.0,17177
119,104,03:00:00,2010-03-04,Achat regroupé,Recherche informations pour achat regroupé,113.0,17178
119,104,03:00:00,2010-03-16,Achat regroupé,Recherche informations pour achat regroupé,113.0,17179
119,104,03:00:00,2010-03-16,Achat regroupé,Recherche informations pour achat regroupé,113.0,17180
119,104,03:00:00,2010-03-18,Achat regroupé,Recherche informations pour achat regroupé,113.0,17181
119,104,12:00:00,2010-03-23,Autres transactions,Promotion saisonnière,113.0,17235
119,104,03:00:00,2010-03-23,Autres transactions,Promotion saisonnière,113.0,17244
119,104,02:30:00,2010-04-06,Achat regroupé,Recherche informations pour achat regroupé,113.0,17515
119,104,02:00:00,2010-04-15,Achat regroupé,Recherche informations pour achat regroupé,113.0,17751
119,104,09:00:00,2010-04-14,Achat regroupé,Recherche informations pour achat regroupé,113.0,17755
119,104,08:30:00,2010-12-01,Échanges associatifs,Représentation de L'Accorderie,113.0,20903
103,102,01:30:00,2011-11-29,Travaux / Entretien / Jardinage,Branchement système audiovisuel et DVD,113.0,26814
119,108,01:00:00,2012-02-06,Autres transactions,Promotion saisonnière,113.0,27818
92,108,02:00:00,2013-09-13,Achat regroupé,Rencontre de travail achat regroupé,113.0,39218
92,108,02:00:00,2013-11-11,Achat regroupé,Rencontre de travail achat regroupé,113.0,40746
92,108,02:00:00,2013-11-11,Achat regroupé,Rencontre de travail achat regroupé,113.0,41069
112,119,08:00:00,2013-09-20,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,113.0,41447
112,119,06:00:00,2013-10-02,Transport / Déménagement,Transport besoins divers,113.0,41448
103,97,03:00:00,2014-03-26,Arts / Culture / Éducation,Prise de photos portfolio,113.0,44010
112,119,02:00:00,2014-05-10,Transport / Déménagement,Des bras pour gros déménagement,113.0,45126
112,119,04:00:00,2014-04-19,Transport / Déménagement,Des bras pour moyen déménagement,113.0,45127
83,89,03:00:00,2014-04-25,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45307
83,89,04:00:00,2014-05-10,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45308
87,89,05:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45311
85,89,03:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45312
81,89,04:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45313
81,89,03:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45314
82,89,01:00:00,2014-05-16,Échanges associatifs,Entretien ménager des locaux,113.0,45315
82,89,02:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45316
82,89,04:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45317
77,89,03:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45318
84,89,03:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45319
84,89,04:00:00,2014-05-16,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45320
85,89,03:00:00,2014-05-28,Échanges associatifs,Communications pour L'Accorderie,113.0,45525
81,84,02:00:00,2014-06-05,Cuisine / Alimentation,Cuisine plats ou repas,113.0,45803
66,80,01:30:00,2014-06-05,Accompagnement / Gardiennage / Animaux,Répit aidantEs naturels,113.0,45804
79,77,02:00:00,2014-06-05,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,113.0,45805
66,84,01:00:00,2014-06-05,Accompagnement / Gardiennage / Animaux,Répit aidantEs naturels,113.0,45806
112,93,04:00:00,2014-06-14,Transport / Déménagement,Transport de matériel avec voiture,113.0,46313
80,84,01:00:00,2014-06-26,Travaux / Entretien / Jardinage,Réparation vélos,113.0,46406
84,66,01:00:00,2014-06-26,Travaux / Entretien / Jardinage,Ménage léger,113.0,46407
