source,target,duree,date,service,detailservice,accorderie,id
965,991,01:00:00,2005-06-07,Administration / Emploi / Organisation,Rédaction Curriculum vitae,104.0,2122
965,990,01:30:00,2005-07-11,Informatique / Bureautique,Traitement de texte,104.0,2124
965,947,02:00:00,2005-09-27,Informatique / Bureautique,Traitement de texte,104.0,2126
990,860,05:00:00,2006-10-05,Achat regroupé,Transport pour commande,104.0,2315
857,860,02:00:00,2007-11-02,Achat regroupé,Partage des commandes,104.0,2338
857,860,02:30:00,2007-10-04,Achat regroupé,Partage des commandes,104.0,2353
965,860,02:00:00,2007-08-31,Achat regroupé,Partage des commandes,104.0,2412
920,860,01:30:00,2006-03-02,Achat regroupé,Partage des commandes,104.0,2524
963,860,01:30:00,2005-03-31,Achat regroupé,Partage des commandes,104.0,2576
963,860,03:00:00,2005-04-01,Achat regroupé,Partage des commandes,104.0,2590
963,860,02:00:00,2005-05-05,Achat regroupé,Partage des commandes,104.0,2610
990,860,02:00:00,2005-05-06,Achat regroupé,Partage des commandes,104.0,2618
963,860,02:00:00,2005-06-29,Achat regroupé,Partage des commandes,104.0,2646
963,860,03:00:00,2005-06-30,Achat regroupé,Partage des commandes,104.0,2650
963,860,01:30:00,2005-07-07,Achat regroupé,Partage des commandes,104.0,2659
920,860,06:00:00,2006-02-02,Achat regroupé,Partage des commandes,104.0,2724
963,860,03:00:00,2006-03-30,Achat regroupé,Partage des commandes,104.0,2734
920,860,03:30:00,2006-03-30,Achat regroupé,Partage des commandes,104.0,2739
963,860,02:00:00,2006-03-31,Achat regroupé,Partage des commandes,104.0,2741
963,860,00:30:00,2006-05-02,Autres transactions,Promotion saisonnière,104.0,2777
990,860,00:30:00,2006-05-02,Autres transactions,Promotion saisonnière,104.0,2784
990,860,00:30:00,2006-05-04,Autres transactions,Promotion saisonnière,104.0,2787
963,860,00:30:00,2006-07-09,Autres transactions,Promotion saisonnière,104.0,2871
990,860,04:30:00,2005-04-02,Achat regroupé,Transport pour commande,104.0,2977
990,860,03:00:00,2006-02-02,Achat regroupé,Transport pour commande,104.0,2957
990,860,04:00:00,2005-11-04,Achat regroupé,Transport pour commande,104.0,2968
990,860,03:00:00,2006-03-02,Achat regroupé,Transport pour commande,104.0,2970
990,860,01:00:00,2006-03-03,Achat regroupé,Transport pour commande,104.0,2971
990,860,03:00:00,2005-05-05,Achat regroupé,Transport pour commande,104.0,2978
990,860,04:00:00,2005-06-29,Achat regroupé,Transport pour commande,104.0,2989
990,860,01:30:00,2007-05-04,Achat regroupé,Transport pour commande,104.0,2993
990,860,01:30:00,2007-06-01,Achat regroupé,Transport pour commande,104.0,2995
990,860,01:30:00,2007-07-06,Achat regroupé,Transport pour commande,104.0,2997
990,860,03:30:00,2007-03-01,Achat regroupé,Transport pour commande,104.0,2998
990,860,01:30:00,2007-03-02,Achat regroupé,Transport pour commande,104.0,3000
990,860,03:30:00,2007-02-01,Achat regroupé,Transport pour commande,104.0,3001
990,860,03:30:00,2007-03-29,Achat regroupé,Transport pour commande,104.0,3003
990,860,01:30:00,2007-03-30,Achat regroupé,Transport pour commande,104.0,3004
990,860,04:00:00,2004-11-04,Achat regroupé,Transport pour commande,104.0,3006
990,860,03:00:00,2004-12-02,Achat regroupé,Transport pour commande,104.0,3007
990,860,03:00:00,2005-03-03,Achat regroupé,Transport pour commande,104.0,3008
990,860,04:00:00,2004-09-02,Achat regroupé,Transport pour commande,104.0,3010
990,860,01:30:00,2004-09-03,Achat regroupé,Transport pour commande,104.0,3011
990,860,03:30:00,2004-09-30,Achat regroupé,Transport pour commande,104.0,3013
990,860,01:30:00,2007-10-05,Achat regroupé,Transport pour commande,104.0,3014
963,937,02:00:00,2006-06-03,Langues / Littérature,Correction textes en français,104.0,3030
990,860,03:30:00,2006-11-02,Achat regroupé,Transport pour commande,104.0,3036
990,860,01:30:00,2006-11-03,Achat regroupé,Transport pour commande,104.0,3037
990,860,03:30:00,2006-11-30,Achat regroupé,Transport pour commande,104.0,3038
990,860,01:30:00,2006-12-01,Achat regroupé,Transport pour commande,104.0,3039
990,860,03:30:00,2006-08-31,Achat regroupé,Transport pour commande,104.0,3040
