source,target,duree,date,service,detailservice,accorderie,id
201,206,02:00:00,2009-05-20,Achat regroupé,Appels téléphoniques achat regroupé,111.0,13264
200,204,03:00:00,2010-03-08,Achat regroupé,Transport pour commande,111.0,17137
200,208,02:00:00,2010-03-05,Informatique / Bureautique,Traitement de texte,111.0,17145
200,205,06:00:00,2010-05-10,Travaux / Entretien / Jardinage,Ménage léger,111.0,19939
200,205,02:00:00,2010-04-02,Travaux / Entretien / Jardinage,Ménage léger,111.0,19940
201,206,02:00:00,2012-02-23,Échanges associatifs,Rencontre de travail pour journal,111.0,27924
201,206,06:30:00,2012-02-21,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,27965
201,198,01:30:00,2012-05-08,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,29316
201,206,01:00:00,2012-06-13,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,29973
201,206,03:00:00,2012-06-15,Échanges associatifs,Rencontre de travail pour journal,111.0,30066
201,206,02:00:00,2012-07-12,Échanges associatifs,Rencontre de travail pour journal,111.0,30712
201,206,03:30:00,2012-07-16,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,30713
201,206,10:30:00,2012-08-19,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,31102
201,206,02:30:00,2012-08-23,Échanges associatifs,Rencontre de travail pour journal,111.0,31106
201,206,01:30:00,2012-10-04,Échanges associatifs,Rencontre de travail pour journal,111.0,32092
201,206,04:30:00,2012-11-24,Échanges associatifs,Sondages pour L'Accorderie,111.0,32774
200,204,07:00:00,2012-12-08,Échanges associatifs,Animation kiosque pour L'Accorderie,111.0,33098
201,206,03:00:00,2012-11-29,Échanges associatifs,Rencontre de travail pour journal,111.0,33143
201,206,07:30:00,2012-11-24,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,33592
193,203,01:00:00,2013-01-13,Transport / Déménagement,Des bras pour gros déménagement,111.0,33965
193,206,01:00:00,2013-02-20,Échanges associatifs,Session d'accueil de L'Accorderie,111.0,34301
196,206,08:30:00,2013-05-13,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,36285
200,204,04:00:00,2013-09-21,Échanges associatifs,Élaboration du Journal / du Bottin,111.0,39245
196,191,01:00:00,2013-10-01,Divers,Aide dénichage d'aubaines,111.0,39489
196,191,03:00:00,2013-09-25,Échanges associatifs,Représentation de L'Accorderie,111.0,39488
196,191,04:00:00,2013-09-13,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39487
174,191,02:00:00,2013-09-07,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39483
174,191,03:00:00,2013-09-25,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39484
178,191,01:00:00,2013-09-21,Échanges associatifs,Tâches manuelles pour L'Accorderie,111.0,39485
185,191,00:30:00,2013-09-13,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39490
188,191,04:00:00,2013-09-13,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39491
188,191,04:00:00,2013-09-21,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39492
188,191,03:00:00,2013-09-25,Échanges associatifs,Représentation de L'Accorderie,111.0,39493
189,191,03:00:00,2013-06-30,Échanges associatifs,Développement d'outils pour L'Accorderie,111.0,39862
187,191,04:00:00,2013-09-21,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39495
187,191,03:00:00,2013-09-25,Échanges associatifs,Représentation de L'Accorderie,111.0,39496
184,191,03:00:00,2013-09-25,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39497
186,191,04:00:00,2013-09-13,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39498
186,191,04:00:00,2013-09-21,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39499
186,191,03:00:00,2013-09-25,Échanges associatifs,Représentation de L'Accorderie,111.0,39500
175,191,03:00:00,2013-09-16,Échanges associatifs,Graphisme pour L'Accorderie,111.0,39501
175,191,03:00:00,2013-09-09,Échanges associatifs,Graphisme pour L'Accorderie,111.0,39502
175,191,03:00:00,2013-09-25,Échanges associatifs,Représentation de L'Accorderie,111.0,39503
188,191,03:00:00,2013-09-24,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39517
187,191,03:00:00,2013-09-24,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39518
186,191,03:00:00,2013-09-24,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39519
175,191,02:00:00,2013-10-06,Échanges associatifs,Graphisme pour L'Accorderie,111.0,39582
196,191,01:30:00,2013-10-10,Divers,Aide dénichage d'aubaines,111.0,39760
196,191,01:30:00,2013-10-10,Cuisine / Alimentation,Conseils pour cuisiner,111.0,39761
188,191,03:00:00,2013-10-17,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,111.0,39854
