id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
1388,66-80,1,30001-50000,Saint-Justin,Mauricie,,J0V,86,9081
1403,0,0,20001-30000,Louiseville,Mauricie,,J5V,86,9069
1612,18-30,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8853
1614,0,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,8855
1714,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8W,86,8750
1793,0,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9B,86,8680
1829,18-30,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8632
1864,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,8602
1952,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,92,8511
1954,55-65,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9B,86,8513
1963,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8504
1967,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8497
2036,0,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8427
2037,0,0,30001-50000,Saint-Étienne-des-Grès,Mauricie,,G0X,86,8428
2092,0,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8375
2108,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8355
2170,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,86,8301
2205,0,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9C,92,8261
2247,31-54,0,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8206
2276,66-80,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8189
2278,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9B,86,8191
2346,66-80,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,8110
2348,31-54,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,8113
2422,18-30,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,8042
2423,55-65,1,50001-,Trois-Rivières,Mauricie,Sainte-Marthe,G8V,92,8043
2441,31-54,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,H1Y,86,8019
2462,66-80,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8010
2465,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8011
2498,55-65,0,0-10000,Shawinigan,Mauricie,,G9A,86,7973
2499,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,92,7974
2509,31-54,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,7945
2510,66-80,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8T,92,7946
2511,31-54,0,50001-,Yamachiche,Mauricie,,G0X,86,7947
2536,31-54,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9C,86,7935
2538,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,7937
2620,0,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,92,7844
2621,31-54,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,7845
2622,31-54,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Z,86,7846
2667,55-65,0,50001-,Trois-Rivières,Mauricie,Saint-Louis de France,G8W,86,7804
2668,55-65,1,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,7805
2703,31-54,1,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,7756
2705,66-80,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Z,86,7758
2706,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,86,7759
2831,55-65,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,7644
2890,31-54,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,7564
2961,31-54,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,86,7508
2982,0,0,0,Saint-Casimir,Capitale-Nationale,,G0A,86,7477
3036,0,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,7429
3051,55-65,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,7415
3071,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8T,86,7392
3072,0,1,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,7393
