source,target,duree,date,service,detailservice,accorderie,id
548,689,02:00:00,2008-07-13,Transport / Déménagement,Transport besoins divers,86.0,10074
700,661,06:30:00,2007-05-27,Travaux / Entretien / Jardinage,Peinture intérieure,86.0,8796
697,695,01:30:00,2003-12-14,Artisanat / Couture / Vêtements,Coud bas de pantalon,86.0,8101
695,697,01:00:00,2003-12-16,Santé / Maternité / Esthétique,Soins esthétiques,86.0,8102
700,688,00:30:00,2004-12-16,Artisanat / Couture / Vêtements,Coud bas de pantalon,86.0,8103
701,699,00:30:00,2003-05-12,Travaux / Entretien / Jardinage,Menus travaux électricité,86.0,8104
703,695,01:00:00,2003-12-18,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,86.0,8105
697,688,00:30:00,2004-10-02,Artisanat / Couture / Vêtements,Coud bas de pantalon,86.0,8106
697,701,00:30:00,2004-10-05,Artisanat / Couture / Vêtements,Coud bas de pantalon,86.0,8107
697,688,02:30:00,2004-10-09,Artisanat / Couture / Vêtements,Coud bas de pantalon,86.0,8108
701,700,01:00:00,2004-12-21,Travaux / Entretien / Jardinage,Menus travaux électricité,86.0,8109
701,700,01:00:00,2004-12-29,Travaux / Entretien / Jardinage,Menus travaux électricité,86.0,8110
697,581,02:00:00,2004-12-20,Échanges associatifs,Animation kiosque pour L'Accorderie,86.0,8111
691,581,02:00:00,2004-12-20,Échanges associatifs,Animation kiosque pour L'Accorderie,86.0,8112
701,581,02:00:00,2004-12-20,Échanges associatifs,Animation kiosque pour L'Accorderie,86.0,8113
688,581,02:00:00,2004-12-20,Échanges associatifs,Animation kiosque pour L'Accorderie,86.0,8114
700,581,02:00:00,2004-12-20,Échanges associatifs,Animation kiosque pour L'Accorderie,86.0,8115
692,689,00:30:00,2005-02-09,Transport / Déménagement,Transport besoins divers,86.0,8116
684,704,00:30:00,2005-04-24,Travaux / Entretien / Jardinage,Ménage léger,86.0,8117
684,674,01:30:00,2005-11-07,Travaux / Entretien / Jardinage,Ménage léger,86.0,8118
684,674,02:00:00,2005-11-21,Travaux / Entretien / Jardinage,Ménage léger,86.0,8119
