id,age,genre,revenu,region,ville,arrondissement,accorderie,mapid,address,longitude,latitude
0,31-54,0,,Saint-Élie,,,,,9W9,-72.04395171423063,45.38413630259867
1,66-80,1,20001-30000,des Nations,,,,,4S5,-71.96672835022395,45.40984079757689
2,55-65,1,0-10000,Mont-Bellevue,,,,,1E5,-71.91123540833127,45.36643768827882
3,66-80,1,10001-20000,Mont-Bellevue,,,,,1X2,-71.90671974322689,45.36832780677983
4,31-54,1,20001-30000,Mont-Bellevue,,,,,3F1,-71.90009886714103,45.38971379372464
5,31-54,0,20001-30000,Saint-Élie,,,,,4V8,-71.98604896598594,45.39439182483363
6,66-80,1,10001-20000,Saint-Élie,,,,,9K8,-72.00071328264067,45.42267556844974
7,55-65,0,20001-30000,Mont-Bellevue,,,,,2H7,-71.94140737629648,45.38572529620858
8,31-54,0,30001-50000,des Nations,,,,,9P5,-71.96192998183496,45.411423982835316
9,31-54,1,20001-30000,des Nations,,,,,8V2,-71.94803088668779,45.41365128773448
10,31-54,0,50001-,Saint-Élie,,,,,7Y3,-72.03691903308706,45.408170695785905
11,66-80,0,0,des Nations,,,,,8W9,-71.94817597437252,45.41063945675329
12,81-95,0,20001-30000,Saint-Élie,,,,,6K9,-72.02848060566329,45.37010998843947
13,31-54,0,,Mont-Bellevue,,,,,7Y5,-71.94081732462719,45.375790396357935
14,66-80,1,0-10000,Saint-Élie,,,,,6Q1,-72.05788795199089,45.37125455794497
15,66-80,0,10001-20000,Brompton,,,,,5Y8,-71.95245480278017,45.46383658422444
16,31-54,0,,Mont-Bellevue,,,,,3K3,-71.94010384509632,45.37155575699015
17,31-54,0,50001-,des Nations,,,,,6C4,-71.95933584595377,45.407132675759776
18,55-65,0,30001-50000,Brompton,,,,,6K2,-71.96330879260604,45.49243120427101
19,55-65,1,10001-20000,Lennoxville,,,,,1F8,-71.81842447498974,45.36012885010071
20,66-80,0,10001-20000,Lennoxville,,,,,7I5,-71.86982118126213,45.368036650913766
21,66-80,1,10001-20000,Saint-Élie,,,,,3R3,-71.99194941527817,45.413535506546914
22,66-80,0,10001-20000,Fleurimont,,,,,5N2,-71.85209803167352,45.413466309781825
23,55-65,0,0-10000,Fleurimont,,,,,7K2,-71.87623946271245,45.43483351213856
24,66-80,1,50001-,Lennoxville,,,,,2X8,-71.82258443096481,45.3742601910217
25,66-80,0,20001-30000,Brompton,,,,,7O3,-71.94266162332623,45.492064899199065
26,66-80,1,50001-,Mont-Bellevue,,,,,3G8,-71.94262673214004,45.38174136804342
27,66-80,1,30001-50000,Fleurimont,,,,,3K2,-71.83917901440832,45.41614549181635
28,31-54,1,,Brompton,,,,,6G6,-71.91995514127746,45.468819444398214
29,31-54,1,30001-50000,Fleurimont,,,,,3I6,-71.86566688803843,45.401731340977285
30,66-80,0,,Saint-Élie,,,,,9B4,-71.99788456398363,45.37526188715745
31,31-54,1,10001-20000,des Nations,,,,,4Q6,-71.96425561531929,45.40961365043419
32,55-65,0,20001-30000,Lennoxville,,,,,5E2,-71.84291156985634,45.36744705311679
33,31-54,1,20001-30000,Saint-Élie,,,,,3O7,-72.00429645850926,45.42866233046476
34,66-80,0,,Saint-Élie,,,,,4N6,-72.02497358655157,45.43823008947294
35,31-54,1,10001-20000,Lennoxville,,,,,4C1,-71.8574835023215,45.3758540723727
36,31-54,0,0,Saint-Élie,,,,,1E4,-72.00126626907993,45.40110904869041
