id,age,genre,revenu,region,ville,arrondissement,accorderie,mapid,address,longitude,latitude
0,55-65,1,20001-30000,Fleurimont,,,,,2O2,-71.8390781951933,45.43775527694558
1,55-65,1,0-10000,Mont-Bellevue,,,,,5O7,-71.94543967762745,45.364183930151704
2,31-54,1,20001-30000,Mont-Bellevue,,,,,6C3,-71.90017101325463,45.37244875513219
3,66-80,0,,Fleurimont,,,,,4P7,-71.86287267461742,45.40224428914338
4,31-54,1,20001-30000,Mont-Bellevue,,,,,3E4,-71.91952305770668,45.38155422288057
5,31-54,0,50001-,des Nations,,,,,4L5,-71.92360777013205,45.422518727557936
6,55-65,1,,Lennoxville,,,,,6T2,-71.85973175464655,45.35830118413397
7,55-65,1,0-10000,des Nations,,,,,9B6,-71.91550595203005,45.42745477903095
8,66-80,0,,Brompton,,,,,1T5,-71.96163562750452,45.48303129480935
9,31-54,1,50001-,Lennoxville,,,,,9H8,-71.84263622913859,45.377689717994286
10,55-65,1,0-10000,Brompton,,,,,3Y4,-71.981313685507,45.484873344117545
11,55-65,0,20001-30000,Saint-Élie,,,,,5V5,-71.98622777647977,45.38348309714358
12,55-65,1,10001-20000,Saint-Élie,,,,,9N4,-72.04214440841325,45.40881731923914
13,31-54,0,0,des Nations,,,,,5U5,-71.94409784829759,45.39930810588488
14,55-65,0,30001-50000,Fleurimont,,,,,2E1,-71.84200290496628,45.41723655558321
15,31-54,0,,Saint-Élie,,,,,2R5,-72.02561412386044,45.37387217759093
16,55-65,0,50001-,Brompton,,,,,4T3,-71.95425285252335,45.49631784575075
17,55-65,0,30001-50000,Fleurimont,,,,,5M2,-71.8605975137257,45.404560272126005
18,55-65,1,10001-20000,Saint-Élie,,,,,4U5,-72.01749185384604,45.38460679611322
19,31-54,0,10001-20000,Brompton,,,,,9H3,-71.9777275870177,45.4653453865613
20,31-54,1,10001-20000,Saint-Élie,,,,,3R9,-72.04634133452558,45.43504135073353
21,31-54,1,30001-50000,Lennoxville,,,,,9X2,-71.83259319941492,45.37060639396874
22,31-54,1,0,des Nations,,,,,9S4,-71.94871507415532,45.40711519383413
23,66-80,1,10001-20000,Brompton,,,,,1D5,-71.90444731874588,45.48563565670104
24,31-54,0,50001-,Lennoxville,,,,,7M6,-71.85319027546183,45.378725117662995
