source,target,duree,date,service,detailservice,accorderie,id
528,456,2,2021-04-10,Aide pour jardinage
553,383,6,2015-09-28,Comité mobilisation - rencontre et téches
464,364,2,2021-09-30,Coupe cheveux
318,388,3,2015-04-06,Aide pour préparer déménagement
463,324,1,2013-03-24,Tâches cléricales comité de financement
113,441,1,2013-08-25,Bricoleur pour petits travaux
1,81,2,2017-01-30,Accompagnement rendez-vous médicaux
164,521,5,2011-06-12,Conseils pour travaux de peinture / teinture
295,233,0,2009-08-24,Aide aux courses
318,66,3,2015-04-09,Initiation tablettes électroniques / iPad
512,37,1,2009-01-11,Entretien de plates-bandes
335,300,3,2013-03-15,Confection pétisserie
24,70,1,2022-01-05,Sondages pour L'Accorderie
341,210,4,2008-06-01,Bon cadeau
68,181,5,2008-10-11,Initiation générale é l'informatique
394,350,0,2018-06-09,Entretien de plates-bandes
504,516,3,2016-06-06,Optimisation matériel informatique (hardware)
526,247,4,2022-10-13,Remboursement
166,233,6,2022-04-12,Initiation orientation avec cartes et boussole
133,120,1,2015-09-08,Bricoleur pour petits travaux
167,383,6,2017-06-28,Menus travaux plomberie
564,312,4,2020-06-20,Ménage léger
529,248,1,2020-06-02,Dépannage pour ordinateurs P.C.
42,151,6,2012-05-10,- Foire de l'Artisanat
195,141,3,2019-12-09,Conseils en aménagement paysager
114,482,0,2018-05-31,Accompagnement démarches médicales
184,163,4,2014-09-23,Réalisation vidéo
92,374,0,2014-09-24,Reiki
46,461,4,2014-05-19,Transport besoins divers
42,450,3,2021-08-21,Travail sur carosserie auto
304,474,6,2016-04-18,Conseils pour décoration intérieure
585,51,4,2022-05-27,Promenade chien
343,149,6,2021-11-26,Démarrage du projet
182,104,3,2022-11-14,Réparation appareils électroniques
423,401,0,2015-02-15,Création ou élaboration d'un potager
309,66,1,2021-04-18,Couture de type industriel
100,136,1,2017-05-29,Utilisation Illustrator
73,490,2,2021-08-03,Réparation de meubles
60,516,2,2021-02-28,Accompagnement musée
195,581,1,2019-04-05,Rédaction textes en franéais
97,4,5,2012-09-09,Soutien en informatique
189,79,3,2021-11-07,Installation Internet
40,422,3,2020-10-17,Nettoyage saisonnier de terrains
88,255,0,2016-10-25,Bricoleur pour petits travaux
394,500,6,2012-01-29,Dépannage pour ordinateurs P.C.
10,139,0,2017-09-17,Rédaction textes en franéais
131,275,0,2016-04-14,Optimisation systéme d'exploitation (software)
109,490,5,2018-09-24,Numérisation photos
330,67,1,2011-10-25,Aide cordage de bois
119,279,0,2020-11-22,Garde d'enfants é votre maison
114,472,3,2020-09-24,Réparation de meubles
46,317,4,2011-06-18,Accompagnement rendez-vous médicaux
443,200,5,2014-04-06,Organisation petits événements
111,581,6,2013-07-09,Projet Résilience
77,85,2,2013-08-05,Rencontre de travail aménagement / entretien des locaux
112,91,0,2014-06-20,Tâches manuelles pour L'Accorderie
417,439,2,2021-01-17,Rencontre de travail comité accueil
465,210,3,2020-09-08,Des bras pour petit déménagement
387,312,2,2020-05-30,Vérification comptable de L'Accorderie
491,64,5,2018-09-04,Production de sacs écologiques pour Accorderie
37,455,3,2009-11-07,"Réparation coussins, rideaux, housses douillettes"
564,111,2,2020-12-04,APIC-Accompagnement d'aénés
456,30,6,2008-04-13,Aide au désencombrement
567,206,3,2015-08-03,Modifications vétements
362,315,6,2015-03-17,Aide cordage de bois
183,30,0,2011-09-04,Bricoleur pour petits travaux
462,171,3,2021-06-20,Foire artisanale
392,580,2,2015-11-05,Travaux d'aménagement de terrains
316,285,0,2018-07-24,Accompagnement rendez-vous médicaux
592,331,4,2008-06-09,Vérification comptable de L'Accorderie
275,596,1,2021-09-07,Remboursement
579,225,2,2007-04-26,Assistance probléme Internet
348,77,3,2022-09-03,Parrainage nouveaux AccordeurEs
247,407,4,2010-11-10,Accompagnement rendez-vous médicaux
433,259,1,2015-10-27,Animation kiosque pour L'Accorderie
53,69,3,2011-08-02,Optimisation systéme d'exploitation (software)
3,111,1,2012-07-13,Animation jardin collectif
372,52,2,2007-02-23,Réalisation vidéo
55,39,5,2016-11-25,Tâches pour Fétes ou 5 é 7 de L'Accorderie
152,16,6,2011-10-17,Rencontre de travail comité accueil
563,183,6,2021-10-01,Comité communications - rencontre et téches
426,69,6,2022-12-14,Promenade chien
372,226,2,2008-07-10,Transport pour les courses
582,165,0,2016-10-10,Session d'accueil de L'Accorderie
272,166,1,2014-12-10,Accompagnement magasinage
586,401,6,2017-10-09,AccordeurE inscritE é la location solidaire (é titre d'information)
341,369,3,2017-08-10,Peinture intérieure
269,209,5,2021-11-12,Bilan de santé naturopathique
518,344,4,2013-08-15,Réparation machine é coudre
464,251,2,2011-03-06,Dépannage pour ordinateurs P.C.
260,284,3,2020-08-17,Menus travaux électricité
593,251,4,2021-05-06,Tâches cléricales pour L'Accorderie
222,460,1,2017-05-10,Accompagnement cuisine
64,38,0,2009-08-31,Organisation / animation activité de L'Accorderie
528,255,2,2017-03-25,Massage des pieds et mains
171,11,0,2020-12-21,Travaux d'entretien de terrains
254,211,6,2018-11-30,Rencontre de travail comité gestion
327,70,4,2011-05-10,Entretien ou réparation automobile
577,178,4,2013-01-30,Peinture extérieure
281,256,1,2008-03-17,Restauration ou fabrication de petits meubles
340,97,1,2018-04-15,Rencontre de travail comité de financement
482,17,5,2014-12-01,Représentation de L'Accorderie
282,95,2,2008-10-21,Initiation générale é l'informatique
508,337,2,2009-04-11,Coupe cheveux
7,242,3,2010-07-16,Coud bas de pantalon
139,267,5,2020-10-01,Rencontre de travail pour journal
333,501,6,2019-01-18,AccordeurE inscritE é la location solidaire (é titre d'information)
446,540,6,2010-02-14,Tâches cléricales comité de financement
119,199,2,2022-08-10,Montage vidéo
433,463,6,2012-08-16,Couture de type industriel
442,380,0,2014-10-31,Travaux d'entretien de terrains
476,558,0,2014-06-02,Foire artisanale
476,370,2,2022-01-04,Tâches cléricales comité de financement
277,594,5,2011-08-14,Conseils en aménagement paysager
449,484,1,2021-04-14,Rencontre comité Vie associative et gestion de l'échange
265,418,3,2011-12-11,Conseils pour décoration intérieure
107,218,6,2017-02-20,Des bras pour gros déménagement
248,581,6,2015-11-14,Communications pour L'Accorderie
420,113,1,2011-04-29,Recherche Internet
38,87,6,2015-09-01,Conseils pour décoration intérieure
7,392,0,2014-10-24,Accompagnement commerces avec carte de membre
262,0,5,2015-09-08,Méditation
135,139,6,2016-03-31,Transport besoins divers
200,97,0,2011-11-25,Travaux d'entretien de terrains
297,12,1,2006-07-26,Initiation générale é l'informatique
450,158,0,2020-07-18,Petites réparations vétements
309,291,1,2015-06-29,Conversation anglaise
231,386,5,2014-12-27,Apprentissage de l'anglais
348,272,3,2020-10-15,Initiation tablettes électroniques / iPad
92,521,1,2021-11-10,Rencontre de travail comité gestion
329,582,5,2019-10-02,Rédaction textes en franéais
132,501,4,2022-05-14,Entretien de plates-bandes
515,43,6,2009-08-22,Commissions é votre place
537,197,5,2017-04-15,Conseils en aménagement paysager
476,448,0,2012-07-16,Remboursement
422,455,6,2020-01-14,Menus travaux soudure
115,473,3,2013-06-13,Peinture intérieure
481,362,0,2011-05-30,Aide pour préparer déménagement
557,334,6,2010-02-15,Prét d'un objet location solidaire
457,312,0,2022-02-23,Peinture intérieure
131,408,1,2017-08-27,Parrainage nouveaux AccordeurEs
82,48,0,2022-09-15,Toilettage chien
62,4,1,2012-02-26,Réseau d'éclaireurs
288,533,0,2019-09-24,Bilan de santé naturopathique
216,367,4,2018-12-09,Méditation
491,120,6,2020-06-27,Tâche contact communautaire
