source,target,duree,date,service,detailservice,accorderie,id
1100,3301,,2018-10-20,,,,
4922,4967,,2021-01-25,,,,
1377,4434,,2019-10-01,,,,
2322,5392,,2021-03-10,,,,
29,3331,,2020-10-17,,,,
1858,4369,,2014-06-17,,,,
138,5541,,2022-07-03,,,,
1430,2178,,2020-12-26,,,,
3119,4432,,2017-10-01,,,,
3260,5215,,2022-02-13,,,,
1297,1858,,2021-05-26,,,,
2076,3216,,2019-04-03,,,,
5250,5541,,2022-02-09,,,,
984,3550,,2019-02-17,,,,
96,3728,,2018-08-08,,,,
281,1253,,2018-08-18,,,,
1470,2229,,2016-09-16,,,,
3634,4899,,2018-05-31,,,,
798,5368,,2022-02-24,,,,
1858,4500,,2019-11-12,,,,
621,5415,,2022-06-03,,,,
939,2900,,2018-03-16,,,,
1858,2480,,2022-10-24,,,,
3833,5393,,2016-02-21,,,,
1858,4083,,2017-08-30,,,,
724,4677,,2020-07-31,,,,
415,3958,,2019-06-13,,,,
1914,5002,,2022-08-21,,,,
584,605,,2020-10-15,,,,
660,4355,,2020-03-05,,,,
2228,2635,,2022-06-23,,,,
1007,4347,,2022-10-26,,,,
184,4083,,2016-03-06,,,,
956,2038,,2019-03-10,,,,
1013,3723,,2019-10-23,,,,
3012,4710,,2015-11-02,,,,
168,4446,,2021-09-09,,,,
3136,4021,,2019-01-03,,,,
1858,3004,,2019-06-01,,,,
2882,2900,,2019-03-20,,,,
3490,5454,,2020-01-20,,,,
551,3508,,2017-09-06,,,,
4102,5404,,2016-05-02,,,,
3842,5365,,2021-11-28,,,,
2442,2655,,2022-02-16,,,,
1858,5104,,2021-11-10,,,,
4967,5047,,2020-12-08,,,,
302,501,,2020-03-11,,,,
3492,3538,,2022-06-24,,,,
2767,2930,,2021-10-25,,,,
2349,2625,,2022-04-23,,,,
2390,5561,,2017-11-01,,,,
958,1335,,2019-12-27,,,,
1334,1798,,2019-09-24,,,,
1048,2466,,2019-03-01,,,,
1895,4809,,2022-02-28,,,,
648,1335,,2020-07-10,,,,
862,1203,,2016-03-07,,,,
384,1317,,2021-04-14,,,,
2582,2843,,2015-01-26,,,,
3525,5466,,2020-03-12,,,,
622,3239,,2021-10-26,,,,
634,4770,,2022-07-02,,,,
1037,1976,,2017-07-05,,,,
238,4647,,2022-02-18,,,,
268,977,,2021-11-05,,,,
1858,2796,,2020-07-16,,,,
559,3070,,2014-08-02,,,,
518,3102,,2017-06-08,,,,
3679,4371,,2018-03-17,,,,
1028,4664,,2022-11-16,,,,
385,2876,,2019-10-23,,,,
338,2381,,2017-02-12,,,,
1933,3958,,2022-10-22,,,,
639,3657,,2021-08-25,,,,
2800,3539,,2018-06-25,,,,
2869,5248,,2016-11-18,,,,
1858,5307,,2019-08-09,,,,
1671,2002,,2020-06-25,,,,
3257,3260,,2018-09-11,,,,
578,2502,,2020-04-22,,,,
757,5467,,2022-05-27,,,,
1304,3206,,2020-10-19,,,,
522,1858,,2016-09-29,,,,
3209,4816,,2019-03-23,,,,
3254,4384,,2022-04-01,,,,
1897,5404,,2017-01-13,,,,
1771,5231,,2020-07-19,,,,
2225,5369,,2021-06-06,,,,
2902,4335,,2018-03-06,,,,
2203,4633,,2019-08-17,,,,
2387,2915,,2019-04-24,,,,
1329,5270,,2022-10-10,,,,
837,4169,,2020-05-09,,,,
222,1464,,2018-12-07,,,,
3038,5395,,2021-06-20,,,,
441,495,,2020-05-06,,,,
4711,4929,,2018-09-22,,,,
4283,4922,,2017-11-04,,,,
2836,2868,,2013-04-14,,,,
2810,4943,,2021-01-14,,,,
57,562,,2018-06-15,,,,
2299,4368,,2020-04-10,,,,
203,2653,,2017-04-27,,,,
1858,2731,,2018-05-15,,,,
2597,3253,,2020-12-06,,,,
