NoAccorderie,NoRegion,NoVille,NoArrondissement,NoCartier,Nom,NomComplet,AdresseAccorderie,CodePostalAccorderie,TelAccorderie,TelecopieurAccorderie,CourrielAccorderie,GrpAchat_Admin,GrpAchat_Accordeur,NonVisible,DateMAJ_Accorderie
2,3,23027,55,\N,Québec,de Québec,,G1K 3A7,4185250258,4185251177,quebec@accorderie.ca,-1,-1,0,4/3/2022 14:06
121,101,99906,0,\N,Yukon,Yukon,3089 3ème avenue,Y1A 5B3,8676682636,,yukon@accorderie.ca,0,0,0,5/14/2021 13:48
117,9,96020,0,\N,la Manicouagan,de la Manicouagan,217 A boul. Lasalle,G4Z 1S7,4182962686,,la.manicouagan@accorderie.ca,0,0,0,1/13/2020 10:19
86,4,37067,68,\N,Trois-Rivières,de Trois-Rivières,"1060 rue St-François-Xavier, Bureau 100",G9A 1R8,8193795111,8193737711,trois.rivieres@accorderie.ca,-1,-1,1,10/2/2018 14:16
88,6,66023,43,\N,Mercier-Hochelaga-M.,de Mercier-Hochelaga-M.,,H1H 3S4,5145443560,,mercier-hochelaga-maisonneuve@accorderie.ca,-1,-1,0,1/17/2020 9:32
92,4,36033,0,\N,Shawinigan,de Shawinigan,"2183, av. St-Marc",G9N 2J4,8195378851,8195370515,shawinigan@accorderie.ca,-1,-1,0,2/20/2020 14:59
113,6,66023,37,\N,Montréal-Nord secteur Nord-Est,de Montréal-Nord secteur Nord-Est,"11991, rue Lapierre, local 201",H1G 3S1,5147590697,,montreal.nord-est@accorderie.ca,-1,-1,0,2/12/2019 0:18
111,3,34128,0,\N,Portneuf,de Portneuf,350 Saint-Cyrille,G3L 1T3,4183261284,,portneuf@accorderie.ca,0,0,1,10/2/2018 14:16
104,6,66023,37,\N,Montréal-Nord,de Montréal-Nord,"11460, av. Pelletier, bur. 201",H1H 3S4,5147590697,,montreal.nord@accorderie.ca,-1,-1,0,9/24/2021 15:13
108,1,10043,0,\N,Rimouski-Neigette,de Rimouski-Neigette,99-B rue de l'Évêché Est,G5L 1X7,4187300772,,rimouski-neigette@accorderie.ca,-1,0,1,10/23/2018 17:10
109,5,43027,7,\N,Sherbrooke,de Sherbrooke,1551 rue Dunant,J1H 5N6,8197802867,,sherbrooke@accorderie.ca,-1,-1,0,2/22/2021 9:47
110,1,8053,0,\N,la Matanie,de la Matanie,"150, rue Saint-Pierre, app. 3",G4W 2B5,4185664054,,la.matanie@accorderie.ca,-1,-1,1,10/2/2018 14:16
112,5,30045,0,\N,Granit,du Granit,29 rue Laval,G6B 1A2,8195825269,,granit@accorderie.ca,0,0,0,1/13/2020 10:18
114,6,66023,45,\N,Rosemont,de Rosemont,5350 rue Lafond,H1X 2X2,5145241797,,rosemont@accorderie.ca,0,0,0,5/18/2021 18:06
115,16,58227,15,\N,Longueuil,de Longueuil,"190 boul. des Ormeaux, unité 2",J4L 1J2,5149151726,,longueuil@accorderie.ca,0,0,0,1/14/2021 10:09
116,3,23027,55,\N,Réseau Accorderie (du Qc),du Réseau Accorderie du Québec,"160 rue St-Joseph Est, bur. 2.4",G1K 3A7,4185242597,,reseau@accorderie.ca,-1,-1,1,9/20/2018 14:12
118,1,7047,0,\N,la Matapédia,de la Matapédia,40 avenue du Parc,G5J 2L6,4186294456,,la.matapedia@accorderie.ca,0,0,0,11/3/2021 12:43
119,11,3005,72,\N,Grand Gaspé,du Grand Gaspé,1826 boul. Forillon,G4X 6L4,5816351011,,grand.gaspe@accorderie.ca,-1,0,1,8/31/2021 16:18
120,16,47020,0,\N,Granby et région,de Granby et région,24 rue St-Joseph,J2G 6T6,5794202468,,granby.et.region@accorderie.ca,-1,0,0,2/5/2020 14:03
