"NoCategorie";"TitreCategorie";"Supprimer";"Approuver"
"100";"Accompagnement / Gardiennage / Animaux";"0";"-1"
"101";"Administration / Emploi / Organisation";"0";"-1"
"102";"Informatique / Bureautique";"0";"-1"
"103";"Transport / Déménagement";"0";"-1"
"104";"Travaux / Entretien / Jardinage";"0";"-1"
"105";"Cuisine / Alimentation";"0";"-1"
"106";"Artisanat / Couture / Vêtements";"0";"-1"
"107";"Langues / Littérature";"0";"-1"
"108";"Arts / Culture / Éducation";"0";"-1"
"109";"Sports / Loisirs / Animation";"0";"-1"
"110";"Santé / Maternité / Esthétique";"0";"-1"
"111";"Hébergement / Voyage / Stationnement";"0";"-1"
"199";"Divers";"0";"-1"
"200";"Achat regroupé";"0";"-1"
"201";"Crédit solidaire";"0";"-1"
"300";"Échanges associatifs";"0";"-1"
"400";"Autres transactions";"0";"-1"
"500";"Réseau Accorderie";"0";"-1"
"202";"Service d'échange d'objets";"-1";"-1"
"1";"essai";"-1";"0"
"301";"Comité de travail - mobilisation.";"0";"0"
"203";"AccOrdi";"0";"-1"
"204";"Entraide vers l&#8217;emploi";"0";"-1"
"195";"Service de location solidaire";"0";"-1"
"205";"Location solidaire";"0";"-1"
