"NoCategorieSousCategorie";"NoSousCategorie";"NoCategorie";"TitreOffre";"Supprimer";"Approuver";"Description";"NoOffre"
"56";"B";"100";"Accompagnement magasinage";"0";"-1";"Accompagnement pour faire du magasinage";"1"
"55";"A";"100";"Accompagnement défense des droits sociaux";"0";"-1";"Accompagnement pour démarche de défense des droits sociaux";"5"
"54";"A";"100";"Accompagnement recherche logement";"0";"-1";"Accompagnement pour  conseil dans le choix d'un logement";"4"
"53";"A";"100";"Accompagnement personnes immigrantes";"0";"-1";"Accompagnement de personnes immigrantes pour rendez-vous divers
";"3"
"52";"A";"100";"Accompagnement rendez-vous médicaux";"0";"-1";"Accompagnement pour n'importe quelle sorte de rendez-vous médicaux";"2"
"51";"A";"100";"Accompagnement rendez-vous divers";"0";"-1";"Accompagnement pour n'importe quelle sorte de rendez-vous";"1"
"57";"B";"100";"Commissions à votre place";"0";"-1";"Fait les courses ou les commissions à votre place";"2"
"58";"B";"100";"Accompagnement épicerie";"0";"-1";"Accompagnement pour faire l'épicerie";"3"
"59";"A";"200";"Commande au groupe d'achats";"0";"-1";"Paiement en heures par l&#8217;AccordeurE de sa commande de l'achat regroupé";"1"
"60";"B";"200";"Partage des commandes";"0";"-1";"Partage de la commande mensuelle  de l'achat regroupé";"1"
"61";"B";"200";"Élaborer liste des produits";"0";"-1";"Élaboration de la liste des produits pour la commande mensuelle de l'achat regroupé";"2"
"62";"B";"200";"Saisie des commandes";"0";"-1";"Saisie des commandes lors du souper mensuel de l'achat regroupé";"3"
"63";"B";"200";"Recherche de fournisseurs";"0";"-1";"Recherche de nouveaux fournisseurs pour l'achat regroupé";"4"
"64";"B";"200";"Transport pour commande";"0";"-1";"Aller chercher la commande d'un fournisseur";"5"
"65";"B";"200";"Recherche informations pour achat regroupé";"0";"-1";"Recherches d'informations pour l'achat regroupé";"6"
"66";"C";"200";"Rencontre de travail achat regroupé";"0";"-1";"Rencontres de travail pour la gestion de l'achat regroupé";"1"
"67";"C";"200";"Appels téléphoniques achat regroupé";"0";"-1";"Appels téléphoniques pour  l'achat regroupé";"2"
"68";"C";"200";"Animation du souper commande";"0";"-1";"Animation du souper commande de l'achat regroupé";"3"
"69";"C";"200";"Accueil au souper commande";"0";"-1";"Accueil des nouveaux participantEs lors du souper mensuel de l'achat regroupé";"4"
"70";"C";"200";"Accueil ramassag";"-1";"-1";"Accueil des Accordeurs pour le ramassage des commandes";"4"
"71";"D";"200";"Tâches manuelles pour achat regroupé";"0";"-1";"Accomplissement de tâches manuelles pour l'achat regroupé";"1"
"72";"D";"200";"Tâches cléricales pour achat regroupé";"0";"-1";"Accomplissement de tâches cléricales pour l'achat regroupé";"2"
"73";"D";"200";"Développement d'outils achat regroupé";"0";"-1";"Développement de nouveaux outils pour l'achat regroupé";"3"
"74";"D";"200";"Nettoyage pour achat regroupé";"0";"-1";"Nettoyage du matériel nécessaire à l'achat regroupé";"4"
"75";"D";"200";"Dépliant de l'achat regroupé";"0";"-1";"Confection ou mise à jour du dépliant de l'achat regroupé";"5"
"76";"A";"201";"Demande de prêt";"0";"-1";"Paiement pour le traitement d'une demande de prêt";"1"
"77";"B";"201";"Rencontre de travail crédit solidaire";"0";"-1";"Rencontres de travail pour la gestion du crédit solidaire";"1"
"78";"C";"201";"Rencontre pour demande de prêt";"0";"-1";"Rencontre auprès d'un demandeur pour formuler une demande prêt";"1"
"79";"C";"201";"Analyse d'une demande de prêt";"0";"-1";"Analyse d'une demande de prêt par le comité de prêt";"2"
"80";"A";"300";"Accueil/réception permanence Accorderie";"0";"-1";"Accueil des membres et visiteurs aux locaux de L'Accorderie";"1"
"81";"A";"300";"Envoi postal pour L'Accorderie";"0";"-1";"Préparer l'envoi postal pour l'ensemble des Accordeurs";"2"
"82";"A";"300";"Facteur et factrice d'un jour";"0";"-1";"Aller porter le courrier au porte-à-porte";"3"
"83";"A";"300";"Sondages pour L'Accorderie";"0";"-1";"Accomplissement de tâches liées à un sondage de L'Accorderie";"4"
"84";"A";"300";"Assemblage de livrets de chèques temps";"0";"-1";"Assemblage de livrets de chèques temps pour L'Accorderie";"5"
"85";"B";"300";"Animation kiosque pour L'Accorderie";"0";"-1";"Animation d'un kiosque pour L'Accorderie lors d'un événement";"1"
"86";"B";"300";"Représentation de L'Accorderie";"0";"-1";"Présentation de L'Accorderie lors d'une rencontre ou auprès d'une organisation ou d'un média";"2"
"87";"B";"300";"Session d'accueil de L'Accorderie";"0";"-1";"Organisation ou accomplissement de tâches relatives à une session d'accueil de L'Accorderie";"3"
