source,target,duree,date,service,detailservice,accorderie,id
429,443,01:00:00,2014-03-01,Santé / Maternité / Esthétique,Méditation,109.0,43152
441,481,00:30:00,2014-03-02,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,109.0,43179
519,562,03:00:00,2014-02-26,Échanges associatifs,Accueil/réception permanence Accorderie,109.0,43178
416,519,01:00:00,2014-02-26,Santé / Maternité / Esthétique,Coupe cheveux,109.0,43177
544,481,00:30:00,2014-03-04,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,109.0,43176
570,562,02:30:00,2014-03-04,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,109.0,43175
589,582,00:30:00,2012-11-13,,,109.0,32685
589,581,00:30:00,2012-11-13,,,109.0,32686
535,562,01:00:00,2013-05-15,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,109.0,36493
556,585,05:30:00,2013-04-18,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,109.0,36617
531,549,02:00:00,2013-05-26,Travaux / Entretien / Jardinage,Réparation vélos,109.0,36675
526,533,01:00:00,2013-05-29,Transport / Déménagement,Aide pour préparer déménagement,109.0,36772
527,519,01:00:00,2013-05-30,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,109.0,36777
528,570,01:30:00,2013-05-28,Travaux / Entretien / Jardinage,Ménage léger,109.0,36778
570,562,01:00:00,2013-06-06,Échanges associatifs,Accueil/réception permanence Accorderie,109.0,36884
526,533,01:00:00,2013-06-03,Transport / Déménagement,Aide pour préparer déménagement,109.0,37204
565,585,02:00:00,2013-06-11,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,109.0,37211
570,562,02:00:00,2013-06-11,Échanges associatifs,Accueil/réception permanence Accorderie,109.0,37329
589,582,00:30:00,2013-06-04,,,109.0,37251
589,586,00:30:00,2013-06-04,,,109.0,37252
530,533,02:00:00,2013-06-20,Travaux / Entretien / Jardinage,Aide pour jardinage,109.0,37328
530,526,01:00:00,2013-06-18,Travaux / Entretien / Jardinage,Aide pour entretien de plantes,109.0,37327
