source,target,duree,date,service,detailservice,accorderie,id
449,399,0,2015-04-07,Correction textes en franéais
72,77,5,2015-12-09,Rencontre de travail comité accueil
198,399,2,2015-06-11,Initiation générale é l'informatique
436,384,5,2018-10-04,Portraitiste
466,399,5,2010-11-24,Parrainage nouveaux AccordeurEs
204,399,5,2017-03-22,Accompagnement rendez-vous médicaux
391,257,6,2019-07-29,Rédaction textes en franéais
586,284,2,2006-05-14,Dépannage disque dur
127,481,4,2006-07-26,Aide pour rénovation
139,111,0,2018-09-11,Transport pour L'Accorderie
619,547,1,2015-07-09,Préparation muffins
414,603,0,2013-11-23,Initiation aquarelle
189,202,3,2017-09-26,Travail sur carosserie auto
119,399,4,2007-07-15,Vérification comptable de L'Accorderie
574,210,3,2014-01-26,Aménagement paysager
435,213,0,2015-09-18,Session d'accueil de L'Accorderie
37,176,4,2009-02-17,Facteur et factrice d'un jour
527,51,4,2011-12-03,Rencontre de travail comité de financement
311,176,0,2011-09-26,élaboration du Journal / du Bottin
329,0,5,2009-01-16,Accompagnement rendez-vous médicaux
205,121,2,2019-07-19,Coud bas de pantalon
390,420,6,2011-06-02,Modifications vétements
599,481,4,2007-12-15,Rapport d'impét personnel
171,358,0,2020-08-09,Organisation / animation activité de L'Accorderie
468,505,0,2008-04-02,Réparation petits appareils électriques
181,419,2,2006-06-10,Rapport d'impét personnel
586,605,6,2014-01-19,Comité communications - rencontre et téches
76,399,2,2016-01-17,Transport moyenne distance
390,112,2,2009-10-07,Réparation vélos
171,456,0,2018-11-26,Transport besoins divers
393,454,4,2012-05-19,Accompagnement pour courses et magasinage
391,373,3,2016-11-26,Animation kiosque pour L'Accorderie
599,614,1,2020-08-21,Dépannage pour ordinateurs P.C.
266,399,0,2012-08-05,Nettoyage saisonnier de terrains
400,321,3,2006-06-12,Cuisine plats ou repas
190,408,0,2022-02-26,Transport avec remorque
266,176,4,2019-07-08,Peinture intérieure
505,399,0,2013-09-22,Initiation générale é l'informatique
339,438,5,2008-06-30,Ménage léger
586,593,1,2019-07-20,Classement documents
388,72,5,2006-06-17,Menus travaux électricité
6,42,3,2007-01-27,Initiation orientation avec cartes et boussole
198,46,6,2022-01-06,Accompagnement rendez-vous divers
376,399,0,2008-06-22,Remboursement
198,218,5,2022-11-24,Aide pour cuisiner
390,593,0,2018-05-05,Confection pétisserie
391,227,5,2014-11-25,Bon cadeau
426,399,4,2020-08-06,Clown pour fétes d'enfants ou événements
204,399,1,2011-07-19,Préparation biscuits
84,72,2,2013-09-17,Peinture intérieure
407,176,6,2013-08-28,Nettoyage saisonnier de terrains
333,629,2,2016-07-20,Rencontre comité jardin collectif
353,583,5,2007-05-31,Animation kiosque pour L'Accorderie
577,221,0,2006-08-25,Peinture extérieure
171,228,6,2006-11-10,Rencontre représentants de comités
390,176,5,2006-06-30,Accueil/réception permanence Accorderie
435,367,0,2011-11-29,Correction textes en anglais
586,51,2,2017-07-21,Peinture intérieure
93,156,0,2015-09-14,Tâches pour Fétes ou 5 é 7 de L'Accorderie
121,481,5,2012-10-23,Entretien ou réparation automobile
586,131,3,2021-03-12,Dépannage pour ordinateurs Macintosh
111,320,2,2022-09-19,Menus travaux plomberie
219,456,4,2015-10-06,Références fibromyalgie
407,176,1,2006-02-17,Entretien jardin collectif
590,399,1,2021-09-30,Formation pour L'Accorderie
391,61,2,2020-01-12,Bricoleur pour petits travaux
23,209,2,2007-08-26,Lavage de voiture
211,235,5,2007-12-20,Comité mobilisation - rencontre et téches
407,176,4,2011-08-01,Bricoleur pour petits travaux
588,163,3,2014-04-08,Appels de courtoisie
565,228,2,2011-02-15,Tâches manuelles pour L'Accorderie
196,399,2,2021-10-28,Reiki
517,62,6,2020-07-11,Nettoyage saisonnier de terrains
391,282,1,2021-11-15,Montage vidéo
586,188,5,2014-02-27,Entretien ménager des locaux
599,169,6,2018-04-22,Rapport d'impét personnel
418,77,0,2006-04-22,Appels de courtoisie
104,176,0,2007-07-30,Aide aux courses
113,368,0,2014-06-19,Réseau d'éclaireurs
224,228,5,2011-02-12,Entretien ou réparation automobile
119,228,1,2016-10-06,Des bras pour gros déménagement
586,408,4,2008-10-22,Transport pour les courses
198,176,3,2013-11-30,Ménage léger
391,487,6,2007-04-14,Réseau d'éclaireurs
391,121,1,2012-04-14,Organisation / animation activité de L'Accorderie
390,443,0,2012-03-13,Optimisation systéme d'exploitation (software)
535,220,4,2017-02-03,Accompagnement épicerie
568,234,0,2013-09-14,Tenue de livres comptables
382,43,2,2016-03-18,Travaux d'entretien de terrains
113,481,6,2014-12-20,Tâches manuelles pour L'Accorderie
586,246,2,2019-09-22,Dépannage pour ordinateurs Macintosh
139,51,2,2007-04-15,Lavage vitres
192,392,0,2008-02-08,Conseils consommation responsable
462,467,1,2009-08-31,Accompagnement rendez-vous médicaux
535,555,2,2007-06-27,Promenade chien
310,121,0,2021-01-19,Rencontre représentants de comités
502,396,1,2020-10-21,Réparation ou restauration d'objets décoratifs
435,176,3,2018-11-28,Apprentissage de l'anglais
390,150,6,2011-02-25,Dépannage pour ordinateurs P.C.
577,307,3,2012-05-18,Rencontre comité Vie associative et gestion de l'échange
111,51,1,2008-09-23,Rédaction Curriculum vitae
419,408,4,2010-11-05,Accompagnement marche
128,408,4,2017-01-14,Des bras pour gros déménagement
34,614,3,2019-03-09,Recherche Internet
111,48,1,2015-03-10,Accompagnement démarches suite é un décés
599,116,0,2019-04-05,Reiki
391,482,1,2011-01-27,Création ou élaboration d'un potager
170,243,4,2012-08-23,Accompagnement raquette
331,438,6,2012-08-21,Organisation / animation activité de L'Accorderie
104,308,0,2012-04-27,Assistance achat matériel informatique
540,438,3,2011-08-18,Rapport d'impét personnel
435,228,4,2009-03-19,Accompagnement commerces avec carte de membre
599,176,2,2021-06-18,Accompagnement épicerie
531,603,3,2016-11-10,Illustration
391,250,5,2009-11-23,Initiation générale é l'informatique
346,228,3,2011-09-24,Envoi postal pour L'Accorderie
72,481,1,2009-10-18,Entretien ménager des locaux
550,168,3,2020-06-10,Organisation / animation activité de L'Accorderie
181,111,4,2016-05-23,Menus travaux plomberie
514,51,5,2010-08-09,Communications pour L'Accorderie
23,614,0,2009-08-17,Soutien en informatique
372,399,5,2016-11-10,Formation pour L'Accorderie
586,399,0,2020-07-15,Peinture extérieure
29,213,0,2022-09-01,Envoi postal pour L'Accorderie
395,355,6,2006-10-03,Menus travaux ébénisterie
599,481,6,2016-08-16,Session d'accueil de L'Accorderie
21,593,0,2017-07-17,Tâches pour Fétes ou 5 é 7 de L'Accorderie
390,176,1,2018-04-27,Accompagnement rendez-vous divers
290,176,1,2010-11-06,Parrainage nouveaux AccordeurEs
171,399,5,2006-01-22,Tableaux Excel
608,449,5,2017-06-30,Initiation cellulaires / téléphones intelligents
586,399,0,2012-02-02,Gestion projet de rénovation
456,167,4,2017-09-19,Accompagnement rendez-vous médicaux
139,133,0,2018-07-16,Réseau d'éclaireurs
545,176,2,2020-12-12,Tâches cléricales pour L'Accorderie
221,388,4,2010-04-26,Rencontre de travail comité accueil
573,399,0,2011-11-12,Aide pour jardinage
27,399,5,2007-11-21,Envoi postal pour L'Accorderie
378,228,0,2006-02-18,Correction textes en franéais
93,472,3,2014-06-05,Références fibromyalgie
391,11,0,2006-06-23,Aide au désencombrement
326,412,0,2011-02-01,Réparation vélos
415,176,5,2013-11-02,Conseils en aménagement paysager
522,311,6,2021-12-16,Initiation é Internet et courriel
139,399,0,2007-03-21,Toilettage chien
425,239,3,2019-12-16,Session d'accueil de L'Accorderie
493,133,0,2020-03-01,Tâches diverses - Café
111,408,5,2017-05-28,Initiation générale é l'informatique
130,140,4,2018-07-06,Taille de haie / arbustes
147,42,4,2012-01-13,Confection bijoux en matiéres recyclées
593,228,1,2020-10-17,Aide au désencombrement
219,399,6,2011-04-05,Taille de haie / arbustes
219,147,6,2014-10-05,Coud bas de pantalon
380,228,1,2014-06-08,Tâches pour Fétes ou 5 é 7 de L'Accorderie
407,614,2,2016-02-18,Menus travaux soudure
