id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
0,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,92,10469
1,55-65,0,20001-30000,Shefford,Montérégie,,J2M,109,10466
2,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1J,109,10467
3,18-30,0,30001-50000,East Angus,Estrie,,J0B,109,10468
4,31-54,0,30001-50000,Saint-Gabriel-de-Rimouski,Bas-Saint-Laurent,,G0K,118,10464
5,55-65,1,10001-20000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10461
6,55-65,1,50001-,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10462
7,0,0,0,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10463
8,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10459
9,55-65,1,0-10000,Candiac,Montérégie,,J5R,115,10457
10,55-65,1,30001-50000,Saint-Basile-le-Grand,Montérégie,,J3N,115,10458
11,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J2L,115,10455
12,31-54,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,10460
13,55-65,0,30001-50000,Val-Brillant,Bas-Saint-Laurent,,G0J,118,10465
14,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,10456
15,66-80,0,20001-30000,Montréal,Montréal,Anjou,H1M,114,10453
16,66-80,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,10454
17,66-80,0,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10451
18,55-65,0,10001-20000,Sainte-Thècle,Mauricie,,G0X,92,10452
19,55-65,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,10447
20,0,0,0,Baie-Comeau,Côte-Nord,,G5C,117,10446
21,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,92,10448
22,31-54,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1W,114,10449
23,66-80,0,30001-50000,Montréal,Montréal,Ahuntsic-Cartierville,H1T,114,10450
24,0,1,0,Saint-Tite,Mauricie,,G0X,92,10443
25,55-65,0,50001-,Shawinigan,Mauricie,,G9T,92,10444
26,0,0,0,Roxton Pond,Montérégie,,J0E,120,10445
27,55-65,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10441
28,18-30,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10442
29,31-54,0,50001-,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,114,10439
30,31-54,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10440
31,31-54,1,50001-,Rimouski,Bas-Saint-Laurent,,G0L,118,10438
32,31-54,0,50001-,Sainte-Thècle,Mauricie,,G0X,92,10437
33,55-65,0,50001-,Granby,Montérégie,,J2G,120,10436
34,66-80,1,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10433
35,55-65,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10434
36,31-54,1,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10435
37,31-54,1,10001-20000,Baie-Comeau,Côte-Nord,,G4Z,117,10432
38,55-65,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Y,92,10430
39,66-80,0,0,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,92,10431
40,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10429
41,31-54,0,50001-,Granby,Montérégie,,J2G,120,10428
42,0,1,10001-20000,Montréal,Montréal,Rivière-des-Prairies--Pointe-aux-Trembles,H1A,114,10427
43,55-65,1,50001-,Shawinigan,Mauricie,,G9R,92,10426
44,66-80,0,50001-,Shawinigan,Mauricie,,G9N,92,10424
45,66-80,0,20001-30000,Amqui,Bas-Saint-Laurent,,G5J,118,10425
46,31-54,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10422
47,66-80,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,10423
48,55-65,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10416
49,66-80,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10417
50,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10418
51,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10419
52,31-54,0,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10420
53,66-80,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10421
54,31-54,1,0-10000,Granby,Montérégie,,J2G,120,10415
55,55-65,1,50001-,Shawinigan,Mauricie,,G9P,92,10413
56,55-65,0,10001-20000,Saint-Séverin,Mauricie,,G0X,92,10411
57,55-65,1,50001-,Sainte-Thècle,Mauricie,,G0X,92,10412
58,31-54,1,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2E,114,10410
59,55-65,1,50001-,Waterloo,Montérégie,,J0E,120,10409
60,0,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2S,114,10408
61,55-65,0,10001-20000,Shawinigan,Mauricie,,G9N,92,10407
62,0,0,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,10406
63,55-65,0,50001-,Sainte-Thècle,Mauricie,,G0X,92,10405
64,66-80,1,0,Granby,Montérégie,,J2H,120,10403
