vertex ID,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
0,0,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G9A,92,10469
1,1,55-65,0,20001-30000,Shefford,Montérégie,,J2M,109,10466
2,2,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1J,109,10467
3,3,18-30,0,30001-50000,East Angus,Estrie,,J0B,109,10468
4,5,55-65,1,10001-20000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10461
5,6,55-65,1,50001-,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10462
6,9,55-65,1,0-10000,Candiac,Montérégie,,J5R,115,10457
7,10,55-65,1,30001-50000,Saint-Basile-le-Grand,Montérégie,,J3N,115,10458
8,13,55-65,0,30001-50000,Val-Brillant,Bas-Saint-Laurent,,G0J,118,10465
9,14,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,10456
10,18,55-65,0,10001-20000,Sainte-Thècle,Mauricie,,G0X,92,10452
11,19,55-65,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,10447
12,21,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,92,10448
13,25,55-65,0,50001-,Shawinigan,Mauricie,,G9T,92,10444
14,27,55-65,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10441
15,28,18-30,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10442
16,33,55-65,0,50001-,Granby,Montérégie,,J2G,120,10436
17,35,55-65,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10434
18,38,55-65,0,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Y,92,10430
19,43,55-65,1,50001-,Shawinigan,Mauricie,,G9R,92,10426
20,48,55-65,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10416
21,55,55-65,1,50001-,Shawinigan,Mauricie,,G9P,92,10413
22,56,55-65,0,10001-20000,Saint-Séverin,Mauricie,,G0X,92,10411
23,57,55-65,1,50001-,Sainte-Thècle,Mauricie,,G0X,92,10412
24,59,55-65,1,50001-,Waterloo,Montérégie,,J0E,120,10409
