source,target,duree,date,service,detailservice,accorderie,id
1,12,03:00:00,2019-07-09,Informatique / Bureautique,Optimisation système d'exploitation (software),2.0,101137
7,4,03:30:00,2018-02-10,Transport / Déménagement,Des bras pour moyen déménagement,2.0,91792
8,7,04:30:00,2017-08-31,Transport / Déménagement,Des bras pour gros déménagement,2.0,87078
9,10,14:00:00,2020-12-29,Autres transactions,Transfert d'heures,2.0,108757
9,10,01:00:00,2020-12-20,Autres transactions,Transfert d'heures,2.0,108756
9,11,35:00:00,2021-02-11,Autres transactions,Transfert d'heures,2.0,109176
9,11,80:00:00,2021-02-11,Autres transactions,Transfert d'heures,2.0,109175
12,50,03:30:00,2017-06-08,Administration / Emploi / Organisation,Introduction coaching professionnel/personnel,2.0,84717
12,50,03:00:00,2017-06-02,Administration / Emploi / Organisation,Introduction coaching professionnel/personnel,2.0,84543
13,14,02:30:00,2017-02-15,Artisanat / Couture / Vêtements,Leçons de tricot,2.0,80900
13,172,00:30:00,2018-01-11,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,90959
13,172,01:00:00,2017-12-16,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,90958
13,172,03:00:00,2018-01-12,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,90957
13,172,01:30:00,2017-08-29,Informatique / Bureautique,Initiation générale à l'informatique,2.0,86928
14,1,01:30:00,2019-07-31,Santé / Maternité / Esthétique,Massothérapie de détente,2.0,102936
14,94,03:30:00,2016-12-08,Artisanat / Couture / Vêtements,Réparation tricots,2.0,79008
14,129,02:30:00,2018-04-11,Santé / Maternité / Esthétique,Harmonisation énergétique,2.0,93390
14,158,01:00:00,2018-11-22,Santé / Maternité / Esthétique,Harmonisation énergétique,2.0,97483
14,158,03:00:00,2018-10-25,Artisanat / Couture / Vêtements,Fabrication vêtements en tricot,2.0,96976
14,158,01:30:00,2018-01-05,Santé / Maternité / Esthétique,Harmonisation énergétique,2.0,90906
14,158,01:30:00,2017-12-11,Santé / Maternité / Esthétique,Harmonisation énergétique,2.0,90523
16,34,02:00:00,2016-12-03,Travaux / Entretien / Jardinage,Ménage léger,2.0,78572
18,42,02:00:00,2016-12-01,Arts / Culture / Éducation,Développement stratégies d'apprentissage,2.0,78603
19,56,01:00:00,2017-03-09,Travaux / Entretien / Jardinage,Petit déneigement,2.0,81767
20,172,04:00:00,2018-01-26,Administration / Emploi / Organisation,Conseils Curriculum vitae,2.0,91309
21,3,01:00:00,2018-03-26,Langues / Littérature,Traduction textes français à anglais,2.0,93038
21,13,02:00:00,2017-03-28,Travaux / Entretien / Jardinage,Aide au désencombrement,2.0,82308
21,13,02:00:00,2017-03-07,Travaux / Entretien / Jardinage,Aide au désencombrement,2.0,81730
21,20,04:00:00,2016-05-14,Travaux / Entretien / Jardinage,Aide au désencombrement,2.0,71413
21,28,01:00:00,2016-09-15,Informatique / Bureautique,Initiation logiciel de messagerie / Outlook,2.0,75140
21,123,01:30:00,2022-03-26,Informatique / Bureautique,Initiation cellulaires / téléphones intelligents,2.0,113343
22,166,01:00:00,2018-02-03,Transport / Déménagement,Transport de matériel avec voiture,2.0,91609
24,17,04:30:00,2017-06-14,Arts / Culture / Éducation,Soutien scolaire mathématiques,2.0,84919
24,21,01:00:00,2017-05-22,Informatique / Bureautique,Dépannage disque dur,2.0,84203
24,21,08:00:00,2017-05-21,Informatique / Bureautique,Dépannage disque dur,2.0,84138
27,67,02:00:00,2016-03-11,Transport / Déménagement,Transport pour les courses,2.0,68934
27,67,00:30:00,2016-03-04,Transport / Déménagement,Transport pour les courses,2.0,68687
34,108,01:00:00,2016-12-09,Accompagnement / Gardiennage / Animaux,Accompagnement magasinage,2.0,79002
34,108,01:00:00,2016-11-25,Transport / Déménagement,Transport pour les courses,2.0,77937
34,108,03:00:00,2016-10-23,Langues / Littérature,Conversation anglaise,2.0,76593
34,108,01:00:00,2016-09-30,Transport / Déménagement,Transport pour les courses,2.0,75631
34,114,01:00:00,2015-08-25,Santé / Maternité / Esthétique,Manucure,2.0,61050
35,56,01:30:00,2017-07-16,Travaux / Entretien / Jardinage,Aide pour jardinage,2.0,85824
36,31,02:30:00,2016-02-19,Travaux / Entretien / Jardinage,Aide domestique,2.0,68169
39,5,02:00:00,2018-02-10,Transport / Déménagement,Transport besoins divers,2.0,91799
39,108,01:00:00,2015-05-16,Transport / Déménagement,Transport besoins divers,2.0,57002
44,84,01:00:00,2017-02-01,Accompagnement / Gardiennage / Animaux,Conseils relation avec chat,2.0,80324
45,25,03:00:00,2016-04-17,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,70377
45,35,03:00:00,2018-04-10,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,93368
45,35,03:00:00,2017-03-23,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,82140
45,35,04:00:00,2016-03-14,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,68960
45,46,03:00:00,2017-03-13,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,81720
45,46,05:00:00,2016-03-09,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,68874
45,46,03:00:00,2015-03-01,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,53551
45,76,04:00:00,2015-08-09,Administration / Emploi / Organisation,Rapport d'impôt personnel,2.0,60805
45,108,03:00:00,2016-07-19,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous divers,2.0,73603
46,75,03:30:00,2015-05-15,Accompagnement / Gardiennage / Animaux,Garde d'enfants à votre maison,2.0,57337
47,15,02:30:00,2016-12-01,Transport / Déménagement,Transport besoins divers,2.0,78314
47,96,01:00:00,2016-12-15,Transport / Déménagement,Transport besoins divers,2.0,79260
47,108,01:00:00,2016-03-21,Transport / Déménagement,Transport besoins divers,2.0,69180
47,108,01:00:00,2016-03-04,Transport / Déménagement,Transport besoins divers,2.0,68669
48,31,07:00:00,2017-11-19,Accompagnement / Gardiennage / Animaux,Accompagnement personnes immigrantes,2.0,89638
48,31,08:00:00,2017-10-30,Accompagnement / Gardiennage / Animaux,Accompagnement personnes immigrantes,2.0,88859
48,43,02:00:00,2015-06-08,,,2.0,58039
48,43,01:00:00,2015-03-09,,,2.0,53965
48,51,01:30:00,2014-06-05,Langues / Littérature,Conversation espagnole,2.0,45957
48,112,01:00:00,2015-06-08,,,2.0,58050
49,12,10:00:00,2020-08-12,Informatique / Bureautique,Initiation Linux et logiciels libres,2.0,107326
49,76,03:00:00,2014-12-12,Informatique / Bureautique,Installation de logiciels libres,2.0,51537
50,84,01:00:00,2014-07-14,Langues / Littérature,Conversation anglaise,2.0,47133
50,84,01:00:00,2014-07-07,Langues / Littérature,Conversation anglaise,2.0,46759
50,84,01:00:00,2014-06-23,Langues / Littérature,Conversation anglaise,2.0,46352
50,84,01:00:00,2014-06-16,Langues / Littérature,Conversation anglaise,2.0,46185
50,84,01:00:00,2014-06-09,Langues / Littérature,Conversation anglaise,2.0,45885
50,84,01:00:00,2014-06-02,Langues / Littérature,Conversation anglaise,2.0,45680
50,84,01:00:00,2014-05-27,Langues / Littérature,Conversation anglaise,2.0,45540
50,84,01:30:00,2014-05-20,Langues / Littérature,Conversation anglaise,2.0,45464
50,84,01:00:00,2014-05-12,Langues / Littérature,Conversation anglaise,2.0,45179
50,94,01:00:00,2016-08-22,Langues / Littérature,Conversation anglaise,2.0,74382
52,108,01:00:00,2014-05-21,Transport / Déménagement,Transport besoins divers,2.0,45465
52,108,00:30:00,2014-02-28,Transport / Déménagement,Transport besoins divers,2.0,43158
52,108,01:00:00,2014-02-04,Transport / Déménagement,Transport besoins divers,2.0,42518
52,108,01:00:00,2014-01-30,Transport / Déménagement,Transport besoins divers,2.0,42420
53,46,01:00:00,2015-04-26,Arts / Culture / Éducation,Transfert VHS à DVD,2.0,56039
53,46,03:00:00,2014-10-23,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,49607
53,46,05:00:00,2014-09-04,Informatique / Bureautique,Initiation générale à l'informatique,2.0,48156
54,57,05:00:00,2013-10-26,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,40100
54,57,02:30:00,2013-10-19,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,40049
54,57,03:00:00,2013-10-14,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,39751
54,57,02:00:00,2013-10-13,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,39750
54,76,01:00:00,2013-12-02,Travaux / Entretien / Jardinage,Réparation électroménagers,2.0,41432
55,21,08:00:00,2015-10-30,Transport / Déménagement,Des bras pour gros déménagement,2.0,76935
55,21,04:00:00,2016-10-07,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,75883
55,21,03:00:00,2016-10-04,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,75746
55,28,01:30:00,2016-09-09,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,74962
55,54,09:00:00,2014-08-07,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,48084
55,54,08:00:00,2014-08-20,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,48081
55,54,08:30:00,2014-08-26,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,48072
55,54,05:00:00,2014-08-28,Travaux / Entretien / Jardinage,Peinture extérieure,2.0,48068
55,54,17:00:00,2014-08-30,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,47973
55,84,02:30:00,2016-08-16,Arts / Culture / Éducation,Initiation dessin,2.0,74179
55,92,08:00:00,2014-05-23,Travaux / Entretien / Jardinage,Peinture extérieure,2.0,45887
55,94,03:00:00,2016-11-28,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,78180
55,96,01:00:00,2014-09-05,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,48316
55,107,06:00:00,2017-06-01,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,84482
55,107,06:00:00,2014-09-05,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,48409
55,107,08:00:00,2014-08-09,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,48082
55,135,11:30:00,2017-07-22,Transport / Déménagement,Des bras pour gros déménagement,2.0,86678
55,169,07:30:00,2016-10-15,Travaux / Entretien / Jardinage,Peinture intérieure,2.0,76418
56,33,01:30:00,2017-05-11,Santé / Maternité / Esthétique,Massothérapie thérapeutique,2.0,83768
56,35,02:00:00,2017-05-25,Santé / Maternité / Esthétique,Massothérapie thérapeutique,2.0,84274
56,35,02:00:00,2017-02-20,Santé / Maternité / Esthétique,Massothérapie thérapeutique,2.0,81041
56,55,02:00:00,2014-09-10,,,2.0,48416
56,57,00:30:00,2014-09-10,,,2.0,48417
57,37,01:30:00,2015-07-01,Langues / Littérature,Rédaction textes en français,2.0,60822
57,37,01:30:00,2015-07-15,Langues / Littérature,Rédaction textes en français,2.0,60821
57,37,01:30:00,2015-07-15,Langues / Littérature,Rédaction textes en français,2.0,59639
57,37,01:30:00,2015-07-01,Langues / Littérature,Rédaction textes en français,2.0,59212
57,37,01:30:00,2015-05-17,Langues / Littérature,Rédaction textes en français,2.0,57009
57,61,02:30:00,2014-06-30,Transport / Déménagement,Transport de matériel avec voiture,2.0,46705
57,108,01:00:00,2014-04-03,Transport / Déménagement,Transport besoins divers,2.0,43995
58,172,01:00:00,2016-11-28,Santé / Maternité / Esthétique,Informations nutrition,2.0,78012
59,108,00:30:00,2014-11-29,Cuisine / Alimentation,Préparation lunchs,2.0,50816
60,59,01:00:00,2016-11-24,Artisanat / Couture / Vêtements,Leçons de crochet,2.0,77940
63,79,08:30:00,2012-07-02,Transport / Déménagement,Des bras pour moyen déménagement,2.0,30244
65,56,01:30:00,2014-06-22,Travaux / Entretien / Jardinage,Assemblage meubles,2.0,46349
65,163,01:00:00,2015-10-10,Travaux / Entretien / Jardinage,Bricoleur pour petits travaux,2.0,63166
70,100,06:00:00,2011-10-24,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,25931
70,133,03:00:00,2011-11-08,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,26109
70,155,02:30:00,2011-12-17,Informatique / Bureautique,Dépannage pour ordinateurs P.C.,2.0,27022
71,26,03:00:00,2016-07-28,Administration / Emploi / Organisation,Rédaction Curriculum vitae,2.0,73960
