id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
1243,55-65,1,30001-50000,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G2G,2,9218
1248,55-65,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,9215
1458,18-30,0,10001-20000,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G1V,2,9008
1527,55-65,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,8940
1551,55-65,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,8912
1708,55-65,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,8763
1757,55-65,1,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,8705
1760,18-30,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,8712
1860,18-30,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,8608
1877,55-65,0,50001-,Saint-Laurent-de-l'Île-d'Orléans,Capitale-Nationale,,G0A,2,8580
1952,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,92,8511
2043,55-65,1,50001-,Saint-Laurent-de-l'Île-d'Orléans,Capitale-Nationale,,G0A,2,8426
2091,55-65,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,8374
2108,55-65,0,0,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,8355
2208,55-65,0,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,8262
2278,55-65,0,10001-20000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9B,86,8191
2329,55-65,0,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,8132
2343,55-65,1,50001-,Québec,Capitale-Nationale,Beauport,G1L,2,8120
2393,55-65,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,8072
2418,18-30,0,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,8037
2566,18-30,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,7898
2796,55-65,0,20001-30000,Québec,Capitale-Nationale,Charlesbourg,G1G,2,7667
2867,55-65,0,0,Québec,Capitale-Nationale,Les Rivières,G2K,2,7592
2877,55-65,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,7573
2928,55-65,1,50001-,Québec,Capitale-Nationale,Beauport,G1E,2,7533
3016,55-65,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,7453
3051,55-65,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,7415
3071,55-65,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8T,86,7392
3097,55-65,1,50001-,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G1V,2,7377
3162,18-30,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,7304
3240,18-30,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,7260
3295,55-65,1,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,1163
3316,55-65,0,0,Québec,Capitale-Nationale,Ste-Foy-Sillery-Cap-Rouge,G1X,2,7177
3351,18-30,0,0-10000,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Z,86,7127
3354,18-30,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,7115
3428,55-65,1,0-10000,Notre-Dame-du-Mont-Carmel,Mauricie,,G0X,86,7051
3438,55-65,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1W,114,7037
3482,18-30,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,6988
3557,55-65,1,0-10000,Québec,Capitale-Nationale,Les Rivières,G1M,2,6919
3814,55-65,0,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,6664
3828,55-65,0,10001-20000,Québec,Capitale-Nationale,Beauport,G0E,2,6643
3925,55-65,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,6540
4142,55-65,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1R,2,6323
4202,18-30,1,20001-30000,Québec,Capitale-Nationale,Les Rivières,G1M,2,6266
4228,55-65,1,10001-20000,Québec,Capitale-Nationale,Beauport,G1E,2,6240
4281,55-65,1,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G8Y,86,6180
4282,55-65,0,50001-,Trois-Rivières,Mauricie,Trois-Rivières Centre,G9A,86,6181
4313,55-65,0,10001-20000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,6160
4321,55-65,0,10001-20000,Trois-Rivières,Mauricie,Saint-Louis de France,G8W,92,6140
4348,55-65,0,0,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,6118
4387,55-65,0,0-10000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8Y,86,6085
4413,18-30,0,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1J,2,6063
4449,55-65,1,0-10000,Québec,Capitale-Nationale,La Cité-Limoilou,G1N,2,6025
4476,55-65,0,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,5987
4684,55-65,1,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,5783
4731,55-65,0,0-10000,Québec,Capitale-Nationale,Les Rivières,G2A,2,5743
4839,55-65,1,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1S,2,5629
5098,55-65,0,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1K,2,5385
5229,55-65,1,10001-20000,Québec,Capitale-Nationale,Beauport,G1E,2,5251
5244,55-65,1,20001-30000,Trois-Rivières,Mauricie,Cap-de-la-Madeleine,G8T,86,5234
