source,target,duree,date,service,detailservice,accorderie,id
2838,4641,,2014-04-29,,,,
3366,3754,,2018-10-07,,,,
2605,4273,,2020-08-11,,,,
3760,4567,,2022-04-05,,,,
3388,4559,,2021-11-08,,,,
4196,6845,,2020-06-06,,,,
342,5890,,2020-01-16,,,,
1740,6724,,2021-04-29,,,,
2741,3367,,2021-03-10,,,,
143,6526,,2020-09-12,,,,
810,1113,,2020-07-18,,,,
1022,5626,,2021-06-25,,,,
640,6449,,2016-02-01,,,,
135,2365,,2013-11-10,,,,
780,2352,,2021-05-19,,,,
3673,4135,,2017-06-02,,,,
1369,3450,,2022-06-27,,,,
4439,5804,,2021-07-10,,,,
236,1602,,2018-10-04,,,,
1334,6273,,2020-09-30,,,,
3992,4673,,2019-10-22,,,,
2326,4350,,2022-10-19,,,,
3007,4198,,2020-02-27,,,,
70,3492,,2017-06-24,,,,
2263,4386,,2017-07-14,,,,
716,1365,,2019-05-20,,,,
787,6669,,2016-06-29,,,,
716,1567,,2020-06-08,,,,
2525,5663,,2015-03-09,,,,
2798,3838,,2015-04-27,,,,
206,749,,2019-02-01,,,,
409,5998,,2016-03-23,,,,
3915,4829,,2022-07-05,,,,
3243,3385,,2013-03-02,,,,
3084,3231,,2020-09-27,,,,
942,5390,,2022-09-21,,,,
2816,6311,,2019-01-29,,,,
3774,4224,,2017-08-02,,,,
5488,6768,,2012-11-17,,,,
5480,5544,,2022-12-01,,,,
1364,1500,,2022-10-01,,,,
3223,4883,,2022-09-25,,,,
5623,5808,,2022-01-14,,,,
1301,2328,,2017-12-14,,,,
397,589,,2017-11-29,,,,
1860,3783,,2021-11-30,,,,
631,5245,,2017-07-25,,,,
2745,3179,,2020-12-25,,,,
4592,4935,,2016-01-27,,,,
4015,5009,,2017-04-30,,,,
1312,6370,,2022-10-30,,,,
292,4151,,2022-07-11,,,,
1432,4971,,2020-12-08,,,,
451,452,,2022-05-24,,,,
5500,5722,,2020-04-18,,,,
75,3260,,2022-11-12,,,,
1556,6122,,2020-06-27,,,,
1437,2017,,2020-09-01,,,,
970,3716,,2020-05-12,,,,
5243,6337,,2016-10-13,,,,
1123,1722,,2021-12-27,,,,
288,2223,,2017-10-08,,,,
1379,6318,,2021-12-02,,,,
1977,4889,,2018-11-23,,,,
5237,6605,,2022-07-06,,,,
213,3556,,2018-06-17,,,,
315,3368,,2022-05-02,,,,
2592,2700,,2021-06-26,,,,
356,6112,,2020-03-12,,,,
2137,5479,,2020-01-26,,,,
956,5486,,2022-05-23,,,,
1805,3737,,2022-02-25,,,,
1840,5843,,2018-09-30,,,,
1730,6436,,2021-01-05,,,,
1883,2170,,2016-12-03,,,,
447,2816,,2022-07-25,,,,
885,5525,,2017-04-19,,,,
233,5626,,2018-07-10,,,,
697,894,,2015-12-15,,,,
3594,5966,,2020-08-01,,,,
2601,3650,,2019-12-25,,,,
1013,5477,,2022-10-27,,,,
2289,2816,,2022-08-30,,,,
3293,4222,,2021-02-19,,,,
365,2503,,2020-03-30,,,,
3466,3836,,2022-04-27,,,,
2723,4367,,2017-01-01,,,,
2819,3103,,2017-08-08,,,,
3387,4289,,2018-10-12,,,,
2885,6722,,2014-07-02,,,,
1893,3270,,2017-09-24,,,,
4320,6725,,2019-11-10,,,,
2062,5912,,2022-10-10,,,,
1799,4118,,2017-12-16,,,,
3077,5216,,2013-09-16,,,,
6064,6351,,2021-03-21,,,,
135,3612,,2017-09-01,,,,
5415,6719,,2021-09-20,,,,
1481,4289,,2022-12-15,,,,
760,3604,,2019-06-17,,,,
4329,5401,,2022-08-22,,,,
1035,3301,,2016-03-27,,,,
21,2816,,2015-08-18,,,,
827,5523,,2017-10-22,,,,
2545,3204,,2020-05-31,,,,
2816,6502,,2021-09-10,,,,
2536,5690,,2021-06-24,,,,
5728,6795,,2022-02-16,,,,
915,4868,,2021-11-19,,,,
380,1410,,2021-04-30,,,,
1012,1709,,2014-09-18,,,,
1024,1928,,2020-03-24,,,,
2574,4356,,2013-02-15,,,,
2766,5458,,2019-08-16,,,,
5009,5395,,2018-10-08,,,,
3873,4353,,2017-01-13,,,,
4407,6330,,2021-06-05,,,,
4470,5280,,2020-10-03,,,,
2884,4389,,2020-05-04,,,,
3174,5123,,2018-01-23,,,,
5136,5649,,2022-03-14,,,,
4805,6743,,2019-03-29,,,,
2052,5537,,2021-10-24,,,,
1674,1736,,2018-08-18,,,,
537,4646,,2017-01-28,,,,
1041,3041,,2022-11-11,,,,
2193,2389,,2014-11-20,,,,
1267,3197,,2016-10-07,,,,
863,2744,,2013-11-17,,,,
65,5891,,2019-07-13,,,,
2945,5986,,2019-07-09,,,,
1085,5875,,2021-11-13,,,,
667,1280,,2019-04-11,,,,
6539,6831,,2019-07-31,,,,
2075,5389,,2022-01-26,,,,
2639,4127,,2015-08-11,,,,
2295,2345,,2013-04-28,,,,
295,3958,,2019-06-18,,,,
1773,6309,,2021-10-26,,,,
1626,6125,,2018-09-27,,,,
769,2682,,2020-06-24,,,,
4472,5210,,2022-06-26,,,,
2511,3365,,2018-10-13,,,,
3939,4632,,2021-05-20,,,,
5009,5346,,2016-03-14,,,,
1475,4698,,2015-07-15,,,,
4075,5938,,2018-11-12,,,,
2445,5888,,2019-10-07,,,,
103,5429,,2022-03-10,,,,
428,590,,2020-06-07,,,,
