"NoArrondissement";"NoVille";"Arrondissement"
"1";"25213";"Desjardins"
"2";"25213";"Les Chutes-de-la-Chaudière-Est"
"3";"25213";"Les Chutes-de-la-Chaudière-Ouest"
"4";"43027";"Brompton"
"5";"43027";"Fleurimont"
"6";"43027";"Lennoxville"
"7";"43027";"Mont-Bellevue"
"8";"43027";"Rock Forest--Saint-Élie--Deauville"
"9";"43027";"Jacques-Cartier"
"10";"9048";"MacNider"
"11";"41037";"Newport"
"12";"76052";"Calumet"
"13";"76052";"Grenville"
"14";"1023";"Grosse-Île"
"15";"58227";"Le Vieux-Longueuil"
"17";"58227";"Greenfield Park"
"20";"58227";"Saint-Hubert"
"22";"66023";"Dorval--L'Île-Dorval"
"23";"66023";"Mont-Royal"
"24";"66023";"Kirkland"
"25";"66023";"Westmount"
"26";"66023";"Outremont"
"27";"66023";"L'Île-Bizard--Sainte-Geneviève--Sainte-Anne-de-Bel"
"28";"66023";"Beaconsfield--Baie-D'Urfé"
"29";"66023";"Pointe-Claire"
"30";"66023";"Anjou"
"31";"66023";"Côte-Saint-Luc--Hampstead--Montréal-Ouest"
"32";"66023";"Dollard-Des Ormeaux--Roxboro"
"33";"66023";"Verdun"
"34";"66023";"Pierrefonds-Senneville"
"35";"66023";"Saint-Léonard"
"36";"66023";"Saint-Laurent"
"37";"66023";"Montréal-Nord"
"38";"66023";"LaSalle"
"40";"66023";"Ville-Marie"
"41";"66023";"Le Sud-Ouest"
"42";"66023";"Le Plateau-Mont-Royal"
"43";"66023";"Mercier--Hochelaga-Maisonneuve"
"44";"66023";"Ahuntsic-Cartierville"
"45";"66023";"Rosemont--La Petite-Patrie"
"46";"66023";"Villeray--Saint-Michel--Parc-Extension"
"47";"66023";"Côte-des-Neiges--Notre-Dame-de-Grâce"
"48";"66023";"Lachine"
"49";"66023";"Pierrefonds-Roxboro"
"50";"66023";"L'Île-Bizard--Sainte-Geneviève"
"51";"66023";"Rivière-des-Prairies--Pointe-aux-Trembles"
"52";"66023";"Côte-des-Neiges--Notre-Dame-de-Grâce"
"53";"23027";"Beauport"
"54";"23027";"Charlesbourg"
"55";"23027";"La Cité-Limoilou"
"56";"23027";"La Haute-Saint-Charles"
"58";"23027";"Les Rivières"
"60";"23027";"Ste-Foy-Sillery-Cap-Rouge"
"61";"94068";"Chicoutimi"
"62";"94068";"Jonquière"
"63";"94068";"La Baie"
"64";"37067";"Cap-de-la-Madeleine"
"65";"37067";"Pointe du Lac"
"66";"37067";"Sainte-Marthe"
"67";"37067";"Saint-Louis de France"
"68";"37067";"Trois-Rivières Centre"
"69";"37067";"Trois-Rivières Ouest"
"70";"3005";"Douglastown à Pointe-Navarre"
"71";"3005";"St-Majorique à Cap-aux-Os"
"72";"3005";"Cap-des-Rosiers à L'Anse-à-Valleau"
