"NoDemandeService";"NoMembre";"NoAccorderie";"TitreDemande";"Description";"Approuve";"Supprimer";"Transmit";"DateDebut";"DateFin"
"8";"159";"2";"Rencontre pour une recherche";"Rencontre pour une recherche";"-1";"-1";"0";"2007-11-23";\N
"9";"43";"2";"Réparer mon imprimante";"J'aurais besoin d'aide pour réparer mon imprimante Laser Jet 1000";"-1";"-1";"0";"2007-12-12";\N
"10";"129";"2";"Salut";"Salut toi";"0";"-1";"0";"2007-12-12";\N
"11";"129";"2";"déneigement de toiture";"déneigement de toiture";"-1";"-1";"0";"2008-02-04";\N
"12";"539";"2";"déneigement de toiture";"déneigement";"-1";"-1";"0";"2008-02-04";\N
"13";"412";"2";"Création d'un site web d'entreprise et de diffusion médiatique";"Besoin d'aide à la conception de site internet pour une entreprise d'enseignement, vente et location ainsi que  de diffusion par une web radio et une web télé.";"-1";"-1";"0";"2008-04-01";"2009-04-01"
"14";"347";"88";"Transport St-Georges-Québec pour 2 toiles";"Besoin d'un ""lift"" d'ici le 26 avril pour 2 toiles encadrées (24 x 36 x 3), de St-Georges à la gare du Palais à Québec, pour participer à une exposition.";"-1";"-1";"0";"2008-04-03";"2008-04-25"
"15";"706";"2";"Aide horticole";"Travail de repiquage dans une serre, besoin immédiatement
";"-1";"-1";"0";"2008-04-05";"2008-04-24"
"16";"930";"104";"Rapport d'impôt personnel";"Fait rapport d'impôt";"-1";"-1";"0";"2008-04-08";\N
"17";"320";"2";"Cage pour chat";"J'aimerais emprunter une cage de transport pour mon chat(visite chez le vétérinaire). contacter Linda de Beaumont 559-5762 Merci";"0";"-1";"0";"2008-04-14";"2008-05-05"
"18";"1008";"2";"Cours de violon";"Je cherche quelqu'un pour enseigner le violon à mon fils de 6 ans, il a déjà un violon et une base en musique (piano). Il lit les notes sur la portée (système anglais A-B-C-D-E-F-G).";"-1";"-1";"0";"2008-04-17";"2008-10-01"
"19";"706";"2";"Petit Pot pour le repicage";"Petit pot pour le repicage à échanger, 3 pces et moins de diamètre, de couleur vert et en très bonne état propre embiller dans 2 boites facile à transporter.Je demande 2hres.";"0";"-1";"0";"2008-04-19";"2008-05-15"
"20";"706";"2";"Pots de culture de plantes";"un lot de petit vert 3pces diamètre , propre, classé dans 2 boites , il y en a environ 200.Négociable en temps";"0";"-1";"0";"2008-04-19";"2008-05-15"
"21";"173";"2";"Ménage lourd et léger & nettoyage vitres";"Beauport - Recherche quelqu'un pour nettoyer vitres, et aide-domestique pour travaux légers.";"0";"-1";"0";"2008-04-20";"2008-09-01"
"22";"179";"104";"Déménagement!!";"Salut, salut! J'aurais besoin de bras d'hommes en fin de journée, le 1er juillet 08 pour m'aider à déménager...Quelques heures gros max!!!";"0";"-1";"0";"2008-04-24";"2008-07-02"
"23";"1007";"88";"Impot";"Bonjour,

Ce serait genial si un membre pouvait offrir le service de remplir les rapports dimpots.
Merci!";"0";"-1";"0";"2008-04-25";\N
