NoMembre;NoCartier;NoAccorderie;NoPointService;NoTypeCommunication;NoOccupation;NoOrigine;NoSituationMaison;NoProvenance;NoRevenuFamilial;NoArrondissement;NoVille;NoRegion;CodePostal;NoTypeTel1;PosteTel2;NoTypeTel2;NoTypeTel3;AchatRegrouper;PretActif;PretRadier;PretPayer;EtatCompteCourriel;BottinTel;BottinCourriel;MembreActif;MembreConjoint;NoMembreConjoint;Sexe;AnneeNaissance;PrecisezOrigine;MembrePrinc;NomAccorderie;RecevoirCourrielGRP;PasCommunication;TransfereDe
10469;0;92;32;2;5;1;2;2;3;64;37067;4;G9A 2A9;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1968;\N;0;\N;-1;0;\N
10466;0;109;19;2;7;1;2;4;4;0;47035;16;J2M 1J1;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1958;\N;0;\N;-1;0;\N
10467;0;109;19;2;2;1;2;6;2;7;43027;5;J1J 1P5;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1998;\N;0;\N;-1;0;\N
10468;0;109;19;2;2;3;6;2;5;0;41060;5;J0B 1R0;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1993;\N;0;\N;0;0;\N
10464;0;118;30;2;3;1;4;3;5;0;9025;1;G0K 1M0;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1985;\N;0;\N;-1;0;\N
10461;0;92;34;1;7;1;5;4;3;0;35005;4;G0X 1M0;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;1;1962;\N;0;\N;0;0;\N
10462;0;92;34;1;6;1;5;2;6;0;35005;4;G0X 1M0;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1960;\N;0;\N;0;0;\N
10463;0;92;34;1;1;1;1;1;1;0;35005;4;G0X 1M0;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;0;\N;0;\N;0;0;\N
10459;0;109;19;2;4;1;2;2;6;9;43027;5;J1L 2J3;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1986;\N;0;\N;-1;0;\N
10457;0;115;25;2;4;1;1;1;2;0;67020;16;J5R 4Y1;4;;1;1;0;0;\N;\N;\N;0;-1;0;0;0;1;1965;\N;0;\N;-1;0;\N
