id,age,genre,revenu,region,ville,arrondissement,accorderie,mapid,address,longitude,latitude
0,31-54,1,0,des Nations,,,,,5K6,-71.95358391576954,45.41252910090448
1,55-65,1,30001-50000,Fleurimont,,,,,3D3,-71.87235306624426,45.404793331985125
2,31-54,0,0-10000,Brompton,,,,,1O6,-71.9103890315504,45.50273367262982
3,31-54,1,10001-20000,Lennoxville,,,,,8G3,-71.86517539487227,45.37138362493427
4,31-54,1,,Brompton,,,,,5U9,-71.94006580206657,45.50034588418753
5,66-80,0,,Lennoxville,,,,,2T1,-71.8139234456424,45.375511388138875
6,66-80,0,20001-30000,Lennoxville,,,,,9P5,-71.82749754918243,45.368118983315334
7,55-65,1,10001-20000,Fleurimont,,,,,9B4,-71.86797517650953,45.412285263880655
8,31-54,0,50001-,des Nations,,,,,4W2,-71.93829018487146,45.403534815023875
9,66-80,0,,des Nations,,,,,6D6,-71.9518802242862,45.39804373536111
10,66-80,0,0-10000,Fleurimont,,,,,7G6,-71.86878018040281,45.43311349339824
11,31-54,0,0-10000,Brompton,,,,,4I5,-71.98448895490203,45.48971941606291
12,66-80,1,10001-20000,Lennoxville,,,,,7Q1,-71.82417643999915,45.38085326253431
13,66-80,1,0,Saint-Élie,,,,,9C6,-72.03970667076436,45.42029295827314
14,66-80,0,50001-,Fleurimont,,,,,5X1,-71.83701555229291,45.439374983161116
15,55-65,1,50001-,Saint-Élie,,,,,7Q5,-72.03605741062894,45.43285636218811
16,31-54,1,20001-30000,Lennoxville,,,,,1G6,-71.8623523459801,45.35621521958729
17,55-65,1,0-10000,des Nations,,,,,8Q2,-71.93261900124293,45.410799841133645
18,66-80,0,50001-,Brompton,,,,,7A1,-71.98764765976586,45.464855211694314
19,31-54,1,20001-30000,Lennoxville,,,,,2V4,-71.83046044688004,45.36934624609989
20,66-80,0,50001-,Saint-Élie,,,,,1H3,-72.00915290423976,45.37169778152248
21,66-80,0,0,Saint-Élie,,,,,9V9,-72.04724274954285,45.38653959554611
22,31-54,1,10001-20000,Brompton,,,,,6V5,-71.92267611054807,45.4984106196238
23,31-54,0,50001-,Lennoxville,,,,,6W6,-71.82382050718599,45.37778375681376
24,66-80,0,0,Mont-Bellevue,,,,,3K4,-71.92843359907944,45.37666662714466
25,66-80,0,,Fleurimont,,,,,8E9,-71.85750630896257,45.422026946308854
26,55-65,1,10001-20000,Saint-Élie,,,,,7D6,-72.02802118122332,45.41008398794464
27,31-54,1,20001-30000,Brompton,,,,,4G1,-71.9000408580103,45.47002538411152
28,31-54,0,20001-30000,Saint-Élie,,,,,1E2,-72.04028438352823,45.42289761694448
29,66-80,0,,des Nations,,,,,1W2,-71.96544423758421,45.426178988837115
30,31-54,1,,Saint-Élie,,,,,1R6,-72.02821549749545,45.403619968412166
31,55-65,0,0-10000,Mont-Bellevue,,,,,9C6,-71.90075063410472,45.37673437773738
32,66-80,1,30001-50000,des Nations,,,,,5C2,-71.94253564309408,45.42530906109898
33,55-65,1,0-10000,Mont-Bellevue,,,,,9F8,-71.9085380445405,45.38758036712421
34,66-80,1,10001-20000,Saint-Élie,,,,,3W4,-71.99198616028148,45.43019431818141
35,66-80,0,,Fleurimont,,,,,4X8,-71.83766561418224,45.42123162016732
36,55-65,0,30001-50000,Lennoxville,,,,,9F4,-71.84418693404318,45.37232656330484
37,66-80,1,0-10000,Mont-Bellevue,,,,,5W6,-71.92536385194668,45.36937658440314
38,55-65,1,0,Fleurimont,,,,,9X3,-71.8784329132894,45.426348652660714
39,31-54,1,30001-50000,Mont-Bellevue,,,,,8C1,-71.9469376900871,45.37560877938867
40,66-80,0,10001-20000,Brompton,,,,,1B4,-71.98835749334629,45.47304355663034
41,31-54,0,0,Fleurimont,,,,,9P8,-71.84417095064975,45.434885408876426
42,66-80,1,0,des Nations,,,,,8Y6,-71.9298602325319,45.411531664465606
43,66-80,0,20001-30000,Brompton,,,,,2M5,-71.93739141947138,45.49547913964206
44,55-65,1,30001-50000,Fleurimont,,,,,7Q5,-71.88011550102732,45.43131544170547
45,66-80,0,0,Mont-Bellevue,,,,,3I5,-71.92556738718059,45.37559883219211
46,31-54,1,50001-,Saint-Élie,,,,,2B4,-71.99865589822589,45.417278123820836
47,66-80,0,0,Lennoxville,,,,,1H3,-71.83185181973074,45.38095726330607
48,66-80,0,50001-,Saint-Élie,,,,,4A7,-72.03071638720819,45.43775670122962
49,31-54,1,10001-20000,Mont-Bellevue,,,,,3H2,-71.94300435619998,45.37869337698378
50,66-80,0,10001-20000,Saint-Élie,,,,,8M2,-72.01785966055667,45.41101333615592
51,31-54,1,,Mont-Bellevue,,,,,2W8,-71.8984397103205,45.3667367557908
52,55-65,0,30001-50000,Saint-Élie,,,,,3O6,-71.99010708143969,45.41329891946768
53,66-80,0,0-10000,Mont-Bellevue,,,,,5X9,-71.90214532110917,45.39245973084242
54,31-54,0,20001-30000,Fleurimont,,,,,5R4,-71.84192083594996,45.432763016526565
55,31-54,0,0,Brompton,,,,,7F6,-71.96489693138705,45.46604802577512
56,55-65,1,,Saint-Élie,,,,,9K4,-72.05012166684628,45.40004179166061
57,31-54,0,20001-30000,Brompton,,,,,8F8,-71.95191437999618,45.49950502497229
58,31-54,0,30001-50000,Saint-Élie,,,,,6A9,-72.00538491713978,45.43942131151965
59,31-54,0,0-10000,Brompton,,,,,5F5,-71.96449944756134,45.48048974894465
60,55-65,1,20001-30000,Saint-Élie,,,,,9I1,-71.99942038026057,45.40214986022739
61,31-54,0,20001-30000,Lennoxville,,,,,3G4,-71.83309789714399,45.37165454024588
62,55-65,1,10001-20000,Fleurimont,,,,,6W5,-71.84896362599035,45.41261754514208
63,66-80,0,0-10000,des Nations,,,,,8F3,-71.93439285138177,45.40323997817008
64,81-95,0,30001-50000,Fleurimont,,,,,6N7,-71.8507257933495,45.43776009396328
65,55-65,0,20001-30000,des Nations,,,,,1K4,-71.96260549798458,45.399731999054495
66,31-54,0,0-10000,des Nations,,,,,1Y3,-71.96369058388306,45.41305164587
67,66-80,0,30001-50000,Fleurimont,,,,,8X4,-71.874166693027,45.40200665319851
68,66-80,0,,Lennoxville,,,,,4O7,-71.81746762534868,45.36099961398813
