source,target,duree,date,service,detailservice,accorderie,id
262,261,03:30:00,2007-08-30,Achat regroupé,Partage des commandes,108.0,2408
264,273,07:30:00,2007-12-21,Arts / Culture / Éducation,Transfert VHS à DVD,108.0,7085
264,260,01:30:00,2007-12-02,Arts / Culture / Éducation,Transfert VHS à DVD,108.0,7087
264,269,01:00:00,2007-08-11,Santé / Maternité / Esthétique,Reiki,108.0,4674
264,269,02:00:00,2007-08-14,Santé / Maternité / Esthétique,Reiki,108.0,4676
264,269,02:00:00,2007-08-20,Santé / Maternité / Esthétique,Reiki,108.0,4677
264,269,02:00:00,2007-09-03,Santé / Maternité / Esthétique,Reiki,108.0,4679
264,269,02:00:00,2007-08-27,Santé / Maternité / Esthétique,Reiki,108.0,4681
264,269,02:30:00,2007-09-17,Santé / Maternité / Esthétique,Reiki,108.0,4682
264,261,01:00:00,2007-09-13,Autres transactions,Bon cadeau,108.0,5367
264,260,02:00:00,2007-08-16,Arts / Culture / Éducation,Transfert VHS à DVD,108.0,5379
264,266,13:00:00,2007-10-30,Arts / Culture / Éducation,Transfert VHS à DVD,108.0,6514
264,263,02:00:00,2007-12-14,Accompagnement / Gardiennage / Animaux,Accompagnement rendez-vous médicaux,108.0,7086
264,268,01:30:00,2007-12-11,Santé / Maternité / Esthétique,Reiki,108.0,7088
264,261,03:30:00,2007-11-29,Échanges associatifs,Tâches pour Fêtes ou 5 à 7 de L'Accorderie,108.0,7100
264,261,02:30:00,2007-09-25,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,108.0,7276
264,273,12:30:00,2008-05-04,Arts / Culture / Éducation,Transfert VHS à DVD,108.0,9108
264,261,05:00:00,2007-12-01,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,9338
264,261,02:00:00,2008-04-02,Échanges associatifs,Rencontre comité Vie associative et gestion de l'échange,108.0,9339
264,261,04:00:00,2008-03-28,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,9340
264,261,06:30:00,2008-03-04,Échanges associatifs,Tâches manuelles pour L'Accorderie,108.0,9341
264,261,01:00:00,2008-03-06,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,9342
264,261,05:30:00,2008-03-08,Échanges associatifs,Animation kiosque pour L'Accorderie,108.0,9343
264,261,02:00:00,2008-03-16,Échanges associatifs,Mise à jour de la liste des membres,108.0,9344
264,256,01:30:00,2008-09-11,Santé / Maternité / Esthétique,Reiki,108.0,10331
264,261,01:30:00,2008-12-14,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,11540
264,261,00:30:00,2009-01-25,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,11826
264,261,08:00:00,2009-01-28,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,11834
264,257,01:00:00,2009-03-23,,,108.0,12442
264,265,01:00:00,2009-03-23,,,108.0,12443
264,259,01:00:00,2009-03-23,,,108.0,12444
264,255,01:00:00,2009-03-23,,,108.0,12445
264,269,01:00:00,2009-03-23,,,108.0,12447
264,258,01:00:00,2009-03-23,,,108.0,12448
264,261,03:00:00,2009-04-17,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,12756
264,261,01:30:00,2009-05-21,Échanges associatifs,Tâches cléricales pour L'Accorderie,108.0,13273
264,265,02:00:00,2009-08-03,Santé / Maternité / Esthétique,Reiki,108.0,14110
264,265,01:00:00,2009-04-20,,,108.0,15981
264,259,01:00:00,2009-04-20,,,108.0,15982
264,255,01:00:00,2009-04-20,,,108.0,15983
264,269,01:00:00,2009-04-20,,,108.0,15984
264,250,01:00:00,2010-06-22,Santé / Maternité / Esthétique,"Compréhension maladie, corps, médicament",108.0,18830
264,250,01:30:00,2010-07-05,Santé / Maternité / Esthétique,Reiki,108.0,18957
264,252,04:00:00,2010-08-26,Accompagnement / Gardiennage / Animaux,Garde d'animaux à votre maison,108.0,19445
264,253,00:30:00,2010-11-19,,,108.0,20759
264,247,00:30:00,2010-11-19,,,108.0,20760
264,267,00:30:00,2010-11-19,,,108.0,20761
264,252,00:30:00,2010-11-19,,,108.0,20762
264,265,00:30:00,2010-11-19,,,108.0,20763
264,269,00:30:00,2010-11-19,,,108.0,20764
264,265,01:30:00,2010-11-28,Informatique / Bureautique,Dépannage disque dur,108.0,20902
264,265,01:30:00,2010-11-28,Santé / Maternité / Esthétique,Reiki,108.0,20904
264,269,02:00:00,2010-12-26,Accompagnement / Gardiennage / Animaux,Visite maison lors d'absence,108.0,21516
264,244,01:00:00,2011-01-30,Santé / Maternité / Esthétique,Méditation,108.0,21619
264,265,01:00:00,2011-03-03,Transport / Déménagement,Transport besoins divers,108.0,22280
264,252,07:30:00,2011-03-21,Accompagnement / Gardiennage / Animaux,Garde d'animaux à votre maison,108.0,22633
264,265,06:00:00,2011-07-10,Accompagnement / Gardiennage / Animaux,Garde d'animaux à votre maison,108.0,24497
264,254,02:00:00,2011-11-11,,,108.0,26727
264,271,01:00:00,2011-11-11,,,108.0,26321
264,238,01:00:00,2011-11-11,,,108.0,26323
264,254,02:00:00,2011-11-30,Santé / Maternité / Esthétique,Méditation,108.0,26666
264,272,01:00:00,2011-12-09,,,108.0,26913
264,243,01:00:00,2011-12-09,,,108.0,26914
264,265,01:30:00,2012-05-02,Santé / Maternité / Esthétique,Reiki,108.0,29230
264,265,01:30:00,2012-05-07,Santé / Maternité / Esthétique,Reiki,108.0,29234
