id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
27,55-65,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10441
28,18-30,1,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10442
34,66-80,1,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10433
36,31-54,1,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10435
40,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10429
48,55-65,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10416
49,66-80,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10417
50,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10418
51,66-80,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10419
52,31-54,0,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10420
68,81-95,0,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10399
71,31-54,0,0,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10402
74,66-80,1,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10390
75,66-80,1,20001-30000,Sherbrooke,Estrie,Fleurimont,J1E,109,10391
79,81-95,1,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10388
80,66-80,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10389
91,18-30,1,10001-20000,Sherbrooke,Estrie,Fleurimont,J1E,109,10377
104,55-65,0,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10365
105,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1K,109,10362
120,0,0,0,Waterville,Estrie,,J0B,109,10348
129,55-65,0,20001-30000,Sherbrooke,Estrie,Fleurimont,J1G,109,10342
133,31-54,0,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10335
180,31-54,1,30001-50000,Waterville,Estrie,,J0B,109,10289
183,31-54,1,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1N,109,10286
187,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10279
188,31-54,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10280
197,66-80,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10272
198,0,\N,,Waterville,Estrie,,J0B,109,10271
220,55-65,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10251
231,31-54,1,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10241
232,31-54,0,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10237
240,55-65,0,30001-50000,Sherbrooke,Estrie,Fleurimont,J1G,109,10227
241,31-54,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10228
253,31-54,0,30001-50000,Bolton-Est,Estrie,,J0E,109,10214
265,31-54,1,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,10202
271,31-54,1,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10197
280,55-65,1,0,North Hatley,Estrie,,J0B,109,10189
285,31-54,0,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1K,109,10183
286,31-54,0,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10181
291,31-54,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10176
313,55-65,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10155
326,55-65,0,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10142
