id,age,genre,revenu,region,ville,arrondissement,accorderie,mapid,address,longitude,latitude
0,31-54,0,30001-50000,Brompton,,,,,6Q2,-71.91527320209553,45.50218275913492
1,31-54,0,30001-50000,des Nations,,,,,5O3,-71.9341221044454,45.398072859025554
2,81-95,1,0,des Nations,,,,,3B4,-71.94566259043695,45.40647215834766
3,66-80,0,0-10000,Lennoxville,,,,,2C3,-71.83857149945057,45.35502395257476
4,31-54,0,10001-20000,Mont-Bellevue,,,,,2V3,-71.90585672736778,45.37614197182479
5,31-54,1,0,Lennoxville,,,,,9F2,-71.85330215829565,45.36520995775936
6,66-80,0,10001-20000,Lennoxville,,,,,6R1,-71.83957943520716,45.35932234941632
7,55-65,1,0-10000,Mont-Bellevue,,,,,1G9,-71.8985477368487,45.391651409770084
8,31-54,0,0,Brompton,,,,,8X9,-71.92931626838637,45.46432212018914
9,66-80,0,,Fleurimont,,,,,2V3,-71.84772815208167,45.42972718981398
10,55-65,0,0,Fleurimont,,,,,4A7,-71.84195049542622,45.43546762199171
11,55-65,1,0-10000,Saint-Élie,,,,,6N3,-72.01965223518154,45.400325504723604
12,31-54,1,0,Saint-Élie,,,,,6O9,-71.99575875892342,45.40770733600085
13,66-80,1,10001-20000,Brompton,,,,,9V6,-71.95439227625998,45.4860495965568
14,31-54,0,50001-,Mont-Bellevue,,,,,9Q3,-71.92983357255986,45.36607953762955
15,55-65,1,10001-20000,des Nations,,,,,5F4,-71.95572021472883,45.405134663264356
16,55-65,0,0,Lennoxville,,,,,9P3,-71.82028439878403,45.37123685174917
17,31-54,0,,Mont-Bellevue,,,,,4K3,-71.94235119850943,45.36479624239279
18,31-54,0,20001-30000,des Nations,,,,,8D8,-71.9328380905417,45.42701499062461
19,31-54,1,0-10000,Fleurimont,,,,,8L7,-71.84825236178439,45.41688630181879
20,81-95,1,50001-,Saint-Élie,,,,,8H4,-72.0507784995348,45.422657423896155
21,66-80,1,50001-,Saint-Élie,,,,,6R1,-72.01581030740087,45.39968379877375
22,31-54,1,0,Lennoxville,,,,,6R7,-71.8441992024024,45.37590525672428
23,66-80,1,0,des Nations,,,,,9L1,-71.90973896999522,45.39847679864212
24,55-65,0,20001-30000,Saint-Élie,,,,,2G5,-72.01156389455876,45.370987046958724
25,31-54,1,30001-50000,Lennoxville,,,,,5C7,-71.85461314144129,45.35756266443962
26,66-80,0,0-10000,des Nations,,,,,8L2,-71.91409977138083,45.42935267188541
27,31-54,1,,Brompton,,,,,8V3,-71.95620364834501,45.48394607791095
28,31-54,0,0,des Nations,,,,,2A5,-71.91697025016077,45.41492564684739
29,55-65,1,0,Saint-Élie,,,,,8F4,-72.02769714682566,45.43424156688082
30,31-54,1,50001-,Mont-Bellevue,,,,,7H3,-71.91187441891141,45.369323423474995
31,55-65,0,30001-50000,des Nations,,,,,2M9,-71.96339056493319,45.403749162363205
32,81-95,0,0-10000,Mont-Bellevue,,,,,2X1,-71.93587974305647,45.382197801195666
33,55-65,1,30001-50000,Fleurimont,,,,,6V9,-71.84678719988459,45.42816270145176
34,66-80,0,30001-50000,Lennoxville,,,,,1P9,-71.81427232738191,45.354455097562266
35,81-95,0,20001-30000,Lennoxville,,,,,5H8,-71.86967234713279,45.36370314215344
36,66-80,1,30001-50000,Lennoxville,,,,,5Y8,-71.85446572686362,45.36191831539173
37,31-54,0,0-10000,Mont-Bellevue,,,,,7F1,-71.91557978590009,45.37414619737602
38,66-80,1,0-10000,Fleurimont,,,,,4G2,-71.8764896594,45.43757707937784
39,31-54,0,30001-50000,Lennoxville,,,,,9C6,-71.81786794802213,45.37625733935748
40,55-65,0,,Fleurimont,,,,,6H4,-71.8538940107731,45.424597293640225
41,55-65,0,20001-30000,Lennoxville,,,,,1A6,-71.82785342943959,45.37195350609713
42,55-65,1,,des Nations,,,,,5P4,-71.93128169054091,45.40929389008664
43,31-54,1,50001-,Fleurimont,,,,,9O4,-71.83807220482191,45.42338380103492
44,55-65,1,0-10000,des Nations,,,,,4C9,-71.92909273578874,45.40106728587476
45,66-80,0,,des Nations,,,,,6T2,-71.94063584141105,45.425806428103094
46,66-80,0,,Brompton,,,,,2X6,-71.91319925921509,45.47826974552886
47,31-54,1,,Mont-Bellevue,,,,,9E9,-71.943128400314,45.3688254107147
48,55-65,1,10001-20000,Lennoxville,,,,,2V7,-71.84557471966133,45.37721190070304
49,31-54,1,0,des Nations,,,,,1N1,-71.9416620393947,45.39791215504695
50,81-95,1,0-10000,Mont-Bellevue,,,,,4Y1,-71.93637461054243,45.37982328123145
51,66-80,0,0-10000,Lennoxville,,,,,1M9,-71.86016696721988,45.36833375783966
52,55-65,1,20001-30000,Brompton,,,,,1D6,-71.92613056770088,45.47196721127839
53,31-54,1,10001-20000,des Nations,,,,,6N9,-71.93309733625165,45.419158946987785
54,55-65,1,,Saint-Élie,,,,,8I2,-72.02211520077118,45.378610822498786
55,66-80,0,50001-,Lennoxville,,,,,7L1,-71.82656220773393,45.38043207012152
56,55-65,0,10001-20000,Fleurimont,,,,,5L3,-71.83509999467367,45.41823870590575
57,66-80,1,50001-,Saint-Élie,,,,,6K6,-71.99311805385022,45.37714117770884
58,81-95,0,10001-20000,Brompton,,,,,9Q6,-71.95964040081962,45.47160428549158
59,66-80,0,10001-20000,des Nations,,,,,9N3,-71.9420490087807,45.40908329483747
60,31-54,0,0-10000,des Nations,,,,,3K1,-71.93533420381372,45.3981648230268
61,31-54,0,30001-50000,Lennoxville,,,,,1W3,-71.83069745116529,45.366749686399636
62,66-80,0,30001-50000,Mont-Bellevue,,,,,3N1,-71.89886045692668,45.37373205637615
63,66-80,1,50001-,des Nations,,,,,9B9,-71.95717061965391,45.41011645949017
64,66-80,1,20001-30000,Mont-Bellevue,,,,,3F1,-71.90681666804488,45.37974670844551
65,31-54,1,10001-20000,Mont-Bellevue,,,,,4G2,-71.9283835165417,45.390229383489846
66,31-54,1,0,Mont-Bellevue,,,,,7N4,-71.93168841184186,45.385101143168036
67,66-80,0,0,Saint-Élie,,,,,9K3,-71.98832523009187,45.407737135167935
68,55-65,1,10001-20000,Lennoxville,,,,,1I8,-71.8355505657766,45.373942072624516
69,55-65,1,50001-,Saint-Élie,,,,,1P6,-72.05297702814576,45.4238035451848
70,66-80,0,0-10000,Lennoxville,,,,,9G5,-71.82243521842287,45.37590273686745
71,66-80,1,,Mont-Bellevue,,,,,4N2,-71.92409352538625,45.3773461162669
72,31-54,0,0,Fleurimont,,,,,9K7,-71.84591563444155,45.42004874304996
73,55-65,0,30001-50000,des Nations,,,,,5H9,-71.914643599383,45.40856957172966
74,55-65,1,0,Brompton,,,,,7N1,-71.90705569835376,45.46610759021989
75,81-95,1,20001-30000,Mont-Bellevue,,,,,1W8,-71.90311541480142,45.38260629062465
76,31-54,1,10001-20000,Lennoxville,,,,,8R3,-71.86939329594557,45.37052918401699
77,31-54,1,0-10000,Mont-Bellevue,,,,,1Y2,-71.93596538974253,45.36593898513715
78,31-54,0,50001-,Brompton,,,,,4X2,-71.92401711833169,45.481891605261936
79,31-54,1,,Saint-Élie,,,,,3U7,-72.06425297303015,45.43990438897377
80,31-54,1,50001-,des Nations,,,,,7L4,-71.91318448129377,45.39706027895851
