source,target,duree,date,service,detailservice,accorderie,id
144,438,1,2018-04-17,Montage vidéo
362,238,4,2020-03-23,Initiation médias sociaux sur Internet
60,536,6,2007-01-06,Rencontre de travail pour journal
537,534,6,2015-11-17,Accompagnement musée
498,141,0,2019-08-05,Initiation générale é l'informatique
24,421,1,2012-07-30,Comité mobilisation - rencontre et téches
287,96,6,2014-01-20,Fabrication vétements en tricot
416,500,5,2020-09-12,Numérisation photos
583,239,4,2015-08-26,Initiation aquarelle
500,424,1,2007-12-07,Mise à jour de la liste des membres
324,189,5,2016-09-11,Aide pour préparer déménagement
227,14,1,2019-01-15,Peinture extérieure
427,45,5,2015-05-29,Massothérapie de détente
367,389,6,2010-04-19,Emballage cadeau
615,174,4,2022-09-30,Fabrication objets en macramé
566,524,2,2010-09-23,Accompagnement rendez-vous médicaux
141,377,6,2010-01-23,Bilan de santé naturopathique
131,527,3,2015-05-08,Optimisation systéme d'exploitation (software)
565,466,2,2018-09-13,Communication interne
144,73,2,2010-07-03,Bilan de santé naturopathique
150,436,3,2014-04-27,Travaux d'entretien de terrains
555,428,5,2020-11-27,Tâche contact communautaire
203,522,3,2009-04-25,Réparation bijoux
542,19,4,2022-03-27,Travaux divers en hauteur
309,595,4,2017-04-19,Massothérapie de détente
38,617,0,2020-04-15,Transport pour L'Accorderie
265,399,3,2014-01-20,Animation kiosque pour L'Accorderie
541,630,6,2018-10-29,Réparation appareils électroniques
139,140,3,2009-12-19,Menus travaux ébénisterie
49,80,5,2022-10-11,Correction textes en anglais
519,577,5,2021-12-16,Réalisation vidéo
117,380,3,2018-03-11,Transport moyenne distance
78,348,3,2012-02-21,Comité mobilisation - rencontre et téches
522,126,4,2018-10-11,Aide aux courses
64,537,6,2016-08-28,Petites réparations vétements
513,333,4,2021-12-17,Animation kiosque pour L'Accorderie
327,43,5,2022-10-26,Aide pour jardinage
539,73,5,2022-10-26,Aide pour jardinage
427,445,0,2015-10-07,Peinture extérieure
382,296,2,2020-08-25,Initiation cellulaires / téléphones intelligents
523,487,4,2020-11-06,Utilisation Illustrator
629,414,0,2021-08-10,Session d'accueil de L'Accorderie
57,578,5,2010-03-28,Initiation photographie numérique
168,334,6,2017-02-01,Initiation générale é l'informatique
358,618,6,2008-10-05,Comité mobilisation - rencontre et téches
324,502,3,2007-11-21,Ménage léger
386,10,4,2018-12-26,Tâches cléricales pour L'Accorderie
542,532,5,2011-11-30,Fabrication objets en macramé
515,508,0,2016-10-16,Travaux d'entretien de terrains
318,601,0,2021-11-04,Correction textes en franéais
110,139,0,2017-04-29,Accompagnement pour courses et magasinage
291,431,6,2007-05-14,Rencontre de travail comité de financement
108,336,2,2019-03-07,Envoi postal pour L'Accorderie
364,424,2,2013-09-10,Animation kiosque pour L'Accorderie
420,542,6,2011-05-05,Accompagnement épicerie
389,212,3,2011-05-09,Garde d'animaux é ma maison
547,339,6,2019-03-20,Accueil/réception permanence Accorderie
113,570,3,2019-08-18,Commissions é votre place
495,291,4,2014-12-22,Confection bijoux en matiéres recyclées
596,80,2,2012-08-09,Accompagnement marche
579,324,1,2022-06-01,Taille de haie / arbustes
184,275,6,2013-11-28,Aide au désencombrement
117,415,3,2018-11-05,Démarrage du projet
233,502,2,2019-05-13,Taille de haie / arbustes
198,150,5,2010-11-19,Apprentissage de l'anglais
626,123,6,2012-10-13,Clown pour fétes d'enfants ou événements
321,573,3,2021-02-09,Formation pour L'Accorderie
621,199,6,2021-12-19,Aide pour rénovation
217,167,3,2009-05-08,Organisation / animation activité de L'Accorderie
341,334,5,2019-03-12,Envoi postal pour L'Accorderie
542,382,6,2010-02-27,Bricoleur pour petits travaux
199,93,3,2019-08-27,Harmonisation énergétique
17,542,4,2022-04-23,Accompagnement rendez-vous médicaux
509,214,0,2022-01-16,Parrainage nouveaux AccordeurEs
600,287,4,2012-10-06,Installation Internet
632,4,6,2012-05-07,Conception site web
577,62,0,2010-05-01,Réparation électroménagers
358,577,2,2021-07-06,Tenue de livres comptables
191,223,1,2017-07-15,Parrainage nouveaux AccordeurEs
335,331,6,2018-03-05,Petites réparations vétements
215,152,5,2018-02-07,Aide dénichage d'aubaines
305,128,6,2012-05-26,Des bras pour petit déménagement
272,414,5,2020-04-28,Réparation vélos
323,305,3,2014-01-07,Accompagnement cuisine
165,364,6,2013-09-06,Organisation et animation d'activités - milieux de vie dynamisés
404,593,3,2012-11-03,Vérification comptable de L'Accorderie
569,189,0,2021-12-20,Prise de photos portrait
600,362,1,2017-03-09,Mise à jour de la liste des membres
170,355,6,2020-07-17,Accompagnement épicerie
305,408,2,2009-10-17,Initiation tablettes électroniques / iPad
144,363,3,2022-01-11,Prét d'un objet location solidaire
563,436,0,2015-11-27,Accompagnement marche
290,252,1,2020-07-31,Conversation espagnole
101,584,5,2022-03-09,Rencontre de travail comité accueil
24,401,0,2021-03-13,Parrainage nouveaux AccordeurEs
64,406,6,2017-07-20,Aide pour rénovation
607,577,5,2022-02-12,Des bras pour petit déménagement
616,281,0,2017-01-15,Réparation vélos
315,448,2,2007-10-25,Toilettage chien
93,506,6,2013-03-08,Comité accueil - équipe téléphone
314,407,6,2010-09-07,Animation kiosque pour L'Accorderie
304,508,4,2020-10-13,Tâches cléricales pour L'Accorderie
350,306,1,2018-04-26,Accompagnement magasinage
47,344,6,2011-10-04,Apprentissage de l'anglais
113,24,0,2011-07-01,Rédaction textes en franéais
186,464,3,2019-11-22,Animation kiosque pour L'Accorderie
343,120,6,2014-12-10,Nettoyage saisonnier de terrains
378,129,3,2008-10-17,Transfert d'heures
395,13,4,2016-09-06,Communications pour L'Accorderie
30,532,3,2018-02-15,Communication interne
416,485,5,2009-08-16,Tâches manuelles pour L'Accorderie
18,592,0,2009-01-17,Préparation repas é congeler
280,68,3,2007-09-25,Prét d'un objet location solidaire
261,231,5,2020-12-26,Rédaction textes en franéais
587,344,1,2010-09-22,Accompagnement marche
532,537,4,2020-07-09,Garde d'enfants é votre maison
439,499,3,2020-07-10,Transport pour les courses
86,313,0,2014-09-12,Des bras pour moyen déménagement
350,575,0,2020-12-22,Nettoyage saisonnier de terrains
621,80,6,2020-05-22,Garde d'enfants é ma maison
225,253,1,2011-04-21,Menus travaux ébénisterie
367,530,2,2021-08-21,- Foire de l'Artisanat
393,58,5,2020-07-10,Utilisation Illustrator
562,473,4,2011-12-18,Des bras pour gros déménagement
421,598,2,2006-08-18,Initiation médias sociaux sur Internet
285,494,6,2014-10-27,Cuisine plats ou repas
306,57,6,2019-03-30,Apprentissage de l'anglais
184,409,1,2009-03-23,Animation fétes et événements
217,593,0,2014-06-20,Ménage léger
344,15,5,2021-11-05,Aide cordage de bois
48,409,5,2012-11-12,Organisation et animation groupes de discussion
101,507,1,2008-06-18,Conseils consommation responsable
463,175,1,2016-09-08,Initiation é Internet et courriel
350,324,1,2021-07-09,Prise de photos portrait
546,389,0,2012-12-10,Réparation vélos
103,335,4,2013-04-06,Numérisation photos
92,252,0,2016-05-29,Emballage cadeau
523,381,4,2015-08-17,Des bras pour petit déménagement
60,277,1,2018-01-31,Rédaction textes en franéais
41,288,6,2017-08-15,Tâches activité de financement
514,525,5,2019-02-22,Accompagnement démarches médicales
623,407,6,2011-08-18,Préparation repas é congeler
452,603,5,2016-11-05,Petites réparations vétements
596,343,1,2015-04-16,Ménage léger
217,261,0,2013-03-08,Initiation cellulaires / téléphones intelligents
167,262,6,2014-09-07,Tâches cléricales pour L'Accorderie
281,467,3,2018-02-07,Création ou élaboration d'un potager
238,237,1,2018-03-17,Bricoleur pour petits travaux
577,527,2,2015-02-10,Lavage de voiture
406,464,5,2007-07-09,Accompagnement rendez-vous médicaux
358,407,4,2022-08-08,Animation kiosque pour L'Accorderie
70,455,1,2011-08-24,Comité accueil - équipe téléphone
153,336,6,2008-09-05,Initiation tablettes électroniques / iPad
508,480,3,2009-08-19,Accompagnement rendez-vous médicaux
85,20,0,2018-08-10,Ménage léger
393,425,0,2008-03-28,Rencontre de travail comité de financement
233,169,1,2017-01-04,Initiation Excel
61,318,5,2018-01-23,Transport moyenne distance
416,163,3,2011-09-24,Entretien jardin collectif
23,212,2,2016-08-05,Accompagnement cuisine
434,227,3,2019-03-12,Petites réparations vétements
519,381,2,2020-02-14,Comité accueil - coordination
351,386,5,2014-10-04,Formation pour L'Accorderie
47,237,2,2021-06-23,Organisation / animation activité de L'Accorderie
16,253,3,2012-05-25,Gestion projet de rénovation
293,391,0,2015-08-13,Fabrication de bijoux
239,31,2,2019-07-11,Animation jardin collectif
87,263,5,2019-03-06,Recherche Internet
406,1,4,2022-06-06,Classement documents
176,466,2,2016-06-12,Initiation retouche de photo informatisée
502,454,0,2014-06-21,Confection sacs réutilisables en tissu
416,281,2,2012-09-29,Initiation et aide Espace membre
600,343,6,2018-05-07,Comité mobilisation - rencontre et téches
159,607,1,2010-02-27,Conseils pour travaux de peinture / teinture
343,249,3,2015-11-11,Optimisation systéme d'exploitation (software)
143,440,5,2008-02-26,Garde d'enfants é ma maison
283,570,3,2016-06-20,Transport de matériel avec voiture
169,626,3,2011-05-29,Peinture extérieure
297,474,0,2021-03-17,Aide cordage de bois
120,406,4,2021-01-13,Tâches pour Fétes ou 5 é 7 de L'Accorderie
546,498,2,2015-09-10,Menus travaux électricité
287,369,1,2016-09-23,Menus travaux plomberie
522,582,5,2007-08-19,Tâches manuelles pour L'Accorderie
376,252,5,2019-03-01,Massothérapie de détente
624,252,5,2015-12-30,Accompagnement rendez-vous divers
389,223,6,2019-04-16,Nettoyage saisonnier de terrains
49,481,5,2010-06-19,Coud bas de pantalon
341,461,1,2010-12-23,Confection desserts pour événements
337,547,1,2019-09-12,Aide pour préparer déménagement
150,1,3,2021-06-28,Initiation photographie numérique
287,89,2,2015-04-30,Dépannage pour ordinateurs P.C.
24,33,4,2013-09-07,Garde d'enfants é ma maison
520,0,4,2011-03-25,Tâches manuelles pour L'Accorderie
208,176,3,2017-12-27,Aide au désencombrement
369,12,5,2011-05-04,Petites réparations vétements
577,495,3,2012-12-02,Initiation é Internet et courriel
14,386,0,2020-12-25,Confection pétisserie
457,126,5,2015-07-09,Correction textes en anglais
167,527,4,2010-01-25,Chansonnier pour spectacle
117,25,3,2021-02-18,Taille de haie / arbustes
217,224,0,2013-12-18,Transport pour les courses
519,264,4,2022-09-09,Accompagnement rendez-vous divers
476,537,4,2008-07-19,Accompagnement rendez-vous médicaux
204,214,6,2017-03-28,Bricoleur pour petits travaux
425,280,0,2016-01-21,Fabrication objets en macramé
500,542,4,2019-07-30,Rencontre comité jardin collectif
542,436,1,2013-08-25,Transport avec remorque
